flight_id,airline,source_airport,destination_airport
FL00464,AI,AP015,AP044
FL00465,AI,AP030,AP041
FL00466,AI,AP045,AP031
FL00467,AI,AP028,AP001
FL00468,AI,AP005,AP018
FL00469,AI,AP014,AP025
FL00470,AI,AP044,AP015
FL00471,AI,AP019,AP042
FL00472,AI,AP037,AP023
FL00473,AI,AP030,AP035
FL00474,AI,AP033,AP022
FL00475,AI,AP027,AP047
FL00476,AI,AP035,AP021
FL00477,AI,AP022,AP044
FL00478,AI,AP029,AP017
FL00479,AI,AP019,AP016
FL00480,AI,AP014,AP007
FL00481,AI,AP046,AP012
FL00482,AI,AP020,AP007
FL00483,AI,AP047,AP034
FL00484,AI,AP048,AP044
FL00485,AI,AP011,AP012
FL00486,AI,AP013,AP047
FL00487,AI,AP030,AP017
FL00488,AI,AP046,AP037
FL00489,AI,AP048,AP033
FL00490,AI,AP038,AP018
FL00491,AI,AP006,AP012
FL00492,AI,AP018,AP014
FL00493,AI,AP023,AP011
FL00494,AI,AP019,AP000
FL00495,AI,AP045,AP034
FL00496,AI,AP008,AP017
FL00497,AI,AP002,AP003
FL00498,AI,AP035,AP018
FL00499,AI,AP044,AP008
FL00500,AI,AP040,AP048
FL00501,AI,AP031,AP006
FL00502,AI,AP000,AP036
FL00503,AI,AP018,AP030
FL00504,AI,AP030,AP028
FL00505,AI,AP021,AP011
FL00506,AI,AP003,AP016
FL00507,AI,AP030,AP007
FL00508,AI,AP004,AP025
FL00509,AI,AP031,AP004
FL00510,AI,AP036,AP040
FL00511,AI,AP043,AP003
FL00512,AI,AP009,AP036
FL00513,AI,AP019,AP005
FL00514,AI,AP015,AP007
FL00515,AI,AP035,AP048
FL00516,AI,AP026,AP038
FL00517,AI,AP038,AP039
FL00518,AI,AP014,AP049
FL00519,AI,AP033,AP024
FL00520,AI,AP028,AP019
FL00521,AI,AP037,AP027
FL00522,AI,AP019,AP036
FL00523,AI,AP039,AP003
FL00524,AI,AP039,AP047
FL00525,AI,AP006,AP048
FL00526,AI,AP013,AP040
FL00527,AI,AP013,AP016
FL00528,AI,AP042,AP005
FL00529,AI,AP010,AP015
FL00530,AI,AP011,AP035
FL00531,AI,AP004,AP010
FL00532,AI,AP000,AP026
FL00533,AI,AP028,AP044
FL00534,AI,AP038,AP030
FL00535,AI,AP018,AP002
FL00536,AI,AP014,AP018
FL00537,AI,AP045,AP018
FL00538,AI,AP044,AP029
FL00539,AI,AP004,AP043
FL00540,AI,AP014,AP016
FL00541,AI,AP040,AP037
FL00542,AI,AP042,AP012
FL00543,AI,AP027,AP007
FL00544,AI,AP034,AP014
FL00545,AI,AP041,AP009
FL00546,AI,AP017,AP009
FL00547,AI,AP004,AP003
FL00548,AI,AP010,AP019
FL00549,AI,AP038,AP047
FL00550,AI,AP036,AP018
FL00551,AI,AP028,AP007
FL00552,AI,AP029,AP044
FL00553,AI,AP019,AP044
FL00554,AI,AP025,AP017
FL00555,AI,AP032,AP034
FL00556,AI,AP031,AP028
FL00557,AI,AP005,AP038
FL00558,AI,AP002,AP027
FL00559,AI,AP047,AP020
FL00560,AI,AP038,AP016
FL00561,AI,AP001,AP005
FL00562,AI,AP014,AP043
FL00563,AI,AP036,AP037
FL00564,AI,AP001,AP048
FL00565,AI,AP043,AP017
FL00566,AI,AP036,AP002
FL00567,AI,AP048,AP011
FL00568,AI,AP030,AP033
FL00569,AI,AP041,AP028
FL00570,AI,AP017,AP011
FL00571,AI,AP037,AP027
FL00572,AI,AP040,AP031
FL00573,AI,AP005,AP030
FL00574,AI,AP022,AP026
FL00575,AI,AP021,AP020
FL00576,AI,AP042,AP006
FL00577,AI,AP010,AP021
FL00578,AI,AP026,AP044
FL00579,AI,AP031,AP018
FL00580,AI,AP042,AP025
FL00581,AI,AP048,AP035
FL00582,AI,AP002,AP029
FL00583,AI,AP005,AP020
FL00584,AI,AP016,AP020
FL00585,AI,AP007,AP049
FL00586,AI,AP025,AP032
FL00587,AI,AP000,AP042
FL00588,AI,AP034,AP029
FL00589,AI,AP026,AP003
FL00590,AI,AP012,AP033
FL00591,AI,AP023,AP039
FL00592,AI,AP048,AP031
FL00593,AI,AP040,AP028
FL00594,AI,AP048,AP003
FL00595,AI,AP013,AP017
FL00596,AI,AP035,AP008
FL00597,AI,AP018,AP028
FL00598,AI,AP044,AP031
FL00599,AI,AP007,AP001
FL00600,AI,AP040,AP038
FL00601,AI,AP015,AP045
FL00602,AI,AP010,AP019
FL00603,AI,AP035,AP000
FL00604,AI,AP035,AP026
FL00605,AI,AP005,AP014
FL00606,AI,AP007,AP029
FL00607,AI,AP007,AP041
FL00608,AI,AP009,AP031
FL00609,AI,AP045,AP018
FL00610,AI,AP032,AP045
FL00611,AI,AP017,AP026
FL00612,AI,AP030,AP015
FL00613,AI,AP029,AP035
FL00614,AI,AP009,AP024
FL00615,AI,AP012,AP038
FL00616,AI,AP032,AP047
FL00617,AI,AP008,AP004
FL00618,AI,AP017,AP049
FL00619,AI,AP026,AP021
FL00620,AI,AP032,AP017
FL00621,AI,AP000,AP018
FL00622,AI,AP046,AP019
FL00623,AI,AP037,AP042
FL00624,AI,AP031,AP009
FL00625,AI,AP028,AP034
FL00626,AI,AP030,AP022
FL00627,AI,AP021,AP035
FL00628,AI,AP048,AP034
FL00629,AI,AP024,AP029
FL00630,AI,AP020,AP012
FL00631,AI,AP044,AP015
FL00632,AI,AP036,AP024
FL00633,AI,AP014,AP049
FL00634,AI,AP026,AP002
FL00635,AI,AP020,AP047
FL00636,AI,AP030,AP045
FL00637,AI,AP024,AP042
FL00638,AI,AP041,AP009
FL00639,AI,AP031,AP002
FL00640,AI,AP008,AP032
FL00641,AI,AP037,AP021
FL00642,AI,AP006,AP028
FL00643,AI,AP006,AP033
FL00644,AI,AP029,AP000
FL00645,AI,AP046,AP009
FL00646,AI,AP026,AP041
FL00647,AI,AP009,AP004
FL00648,AI,AP030,AP016
FL00649,AI,AP021,AP039
FL00650,AI,AP044,AP025
FL00651,AI,AP041,AP005
FL00652,AI,AP021,AP043
FL00653,AI,AP034,AP024
FL00654,AI,AP020,AP040
FL00655,AI,AP045,AP048
FL00656,AI,AP031,AP034
FL00657,AI,AP002,AP039
FL00658,AI,AP004,AP015
FL00659,AI,AP040,AP043
FL00660,AI,AP018,AP014
FL00661,AI,AP047,AP005
FL00662,AI,AP027,AP006
FL00663,AI,AP048,AP040
FL00664,AI,AP045,AP006
FL00665,AI,AP028,AP010
FL00666,AI,AP044,AP019
FL00667,AI,AP001,AP002
FL00668,AI,AP020,AP003
FL00669,AI,AP018,AP022
FL00670,AI,AP023,AP027
FL00671,AI,AP009,AP015
FL00672,AI,AP033,AP026
FL00673,AI,AP036,AP043
FL00674,AI,AP011,AP010
FL00675,AI,AP011,AP005
FL00676,AI,AP039,AP024
FL00677,AI,AP039,AP043
FL00678,AI,AP015,AP031
FL00679,AI,AP037,AP009
FL00680,AI,AP014,AP029
FL00681,AI,AP040,AP016
FL00682,AI,AP029,AP016
FL00683,AI,AP042,AP000
FL00684,AI,AP029,AP018
FL00685,AI,AP043,AP034
FL00686,AI,AP010,AP004
FL00687,AI,AP028,AP022
FL00688,AI,AP037,AP019
FL00689,AI,AP040,AP027
FL00690,AI,AP044,AP016
FL00691,AI,AP029,AP019
FL00692,AI,AP012,AP024
FL00693,AI,AP030,AP006
FL00694,AI,AP015,AP024
FL00695,AI,AP036,AP022
FL00696,AI,AP036,AP018
FL00697,AI,AP044,AP018
FL00698,AI,AP001,AP042
FL00699,AI,AP025,AP017
FL00700,AI,AP000,AP036
FL00701,AI,AP043,AP049
FL00702,AI,AP047,AP003
FL00703,AI,AP038,AP047
FL00704,AI,AP031,AP018
FL00705,AI,AP049,AP014
FL00706,AI,AP038,AP022
FL00707,AI,AP014,AP040
FL00708,AI,AP012,AP039
FL00709,AI,AP016,AP043
FL00710,AI,AP048,AP046
FL00711,AI,AP049,AP042
FL00712,AI,AP043,AP008
FL00713,AI,AP040,AP006
FL00714,AI,AP040,AP041
FL00715,AI,AP002,AP019
FL00716,AI,AP028,AP002
FL00717,AI,AP037,AP023
FL00718,AI,AP046,AP008
FL00719,AI,AP005,AP018
FL00720,AI,AP020,AP047
FL00721,AI,AP026,AP011
FL00722,AI,AP012,AP008
FL00723,AI,AP034,AP023
FL00724,AI,AP033,AP032
FL00725,AI,AP017,AP010
FL00726,AI,AP016,AP030
FL00727,AI,AP018,AP047
FL00728,AI,AP021,AP007
FL00729,AI,AP029,AP004
FL00730,AI,AP009,AP048
FL00731,AI,AP014,AP043
FL00732,AI,AP046,AP043
FL00733,AI,AP025,AP035
FL00734,AI,AP023,AP005
FL00735,AI,AP025,AP000
FL00736,AI,AP016,AP034
FL00737,AI,AP007,AP029
FL00738,AI,AP023,AP043
FL00739,AI,AP047,AP043
FL00740,AI,AP016,AP037
FL00741,AI,AP024,AP040
FL00742,AI,AP023,AP006
FL00743,AI,AP043,AP014
FL00744,AI,AP030,AP001
FL00745,AI,AP039,AP035
FL00746,AI,AP020,AP039
FL00747,AI,AP014,AP041
FL00748,AI,AP004,AP040
FL00749,AI,AP029,AP044
FL00750,AI,AP019,AP041
FL00751,AI,AP026,AP007
FL00752,AI,AP008,AP002
FL00753,AI,AP002,AP019
FL00754,AI,AP031,AP007
FL00755,AI,AP006,AP015
FL00756,AI,AP034,AP008
FL00757,AI,AP024,AP029
FL00758,AI,AP023,AP042
FL00759,AI,AP047,AP044
FL00760,AI,AP034,AP026
FL00761,AI,AP037,AP047
FL00762,AI,AP046,AP009
FL00763,AI,AP026,AP041
FL00764,AI,AP006,AP031
FL00765,AI,AP039,AP026
FL00766,AI,AP017,AP002
FL00767,AI,AP044,AP023
FL00768,AI,AP013,AP028
FL00769,AI,AP028,AP015
FL00770,AI,AP023,AP006
FL00771,AI,AP043,AP023
FL00772,AI,AP034,AP041
FL00773,AI,AP022,AP003
FL00774,AI,AP025,AP017
FL00775,AI,AP012,AP007
FL00776,AI,AP029,AP005
FL00777,AI,AP042,AP013
FL00778,AI,AP041,AP040
FL00779,AI,AP038,AP001
FL00780,AI,AP003,AP021
FL00781,AI,AP015,AP008
FL00782,AI,AP036,AP013
FL00783,AI,AP004,AP048
FL00784,AI,AP035,AP013
FL00785,AI,AP037,AP013
FL00786,AI,AP014,AP021
FL00787,AI,AP049,AP009
FL00788,AI,AP038,AP000
FL00789,AI,AP017,AP009
FL00790,AI,AP008,AP034
FL00791,AI,AP016,AP011
FL00792,AI,AP007,AP042
FL00793,AI,AP001,AP008
FL00794,AI,AP000,AP022
FL00795,AI,AP015,AP037
FL00796,AI,AP020,AP001
FL00797,AI,AP011,AP016
FL00798,AI,AP003,AP008
FL00799,AI,AP047,AP026
FL00800,AI,AP033,AP007
FL00801,AI,AP047,AP004
FL00802,AI,AP030,AP028
FL00803,AI,AP049,AP023
FL00804,AI,AP032,AP037
FL00805,AI,AP006,AP028
FL00806,AI,AP032,AP014
FL00807,AI,AP039,AP002
FL00808,AI,AP046,AP042
FL00809,AI,AP033,AP019
FL00810,AI,AP029,AP041
FL00811,AI,AP001,AP003
FL00812,AI,AP030,AP025
FL00813,AI,AP027,AP043
FL00814,AI,AP006,AP031
FL00815,AI,AP045,AP028
FL00816,AI,AP004,AP005
FL00817,AI,AP020,AP038
FL00818,AI,AP009,AP004
FL00819,AI,AP008,AP017
FL00820,AI,AP039,AP040
FL00821,AI,AP037,AP035
FL00822,AI,AP045,AP020
FL00823,AI,AP024,AP038
FL00824,AI,AP033,AP018
FL00825,AI,AP029,AP032
FL00826,AI,AP038,AP027
FL00827,AI,AP006,AP044
FL00828,AI,AP007,AP041
FL00829,AI,AP041,AP049
FL00830,AI,AP035,AP046
FL00831,AI,AP013,AP027
FL00832,AI,AP028,AP014
FL00833,AI,AP026,AP021
FL00834,AI,AP029,AP025
FL00835,AI,AP026,AP046
FL00836,AI,AP006,AP020
FL00837,AI,AP027,AP020
FL00838,AI,AP042,AP016
FL00839,AI,AP023,AP009
FL00840,AI,AP043,AP030
FL00841,AI,AP004,AP005
FL00842,AI,AP005,AP027
FL00843,AI,AP006,AP047
FL00844,AI,AP047,AP023
FL00845,AI,AP008,AP035
FL00846,AI,AP003,AP037
FL00847,AI,AP035,AP021
FL00848,AI,AP042,AP007
FL00849,AI,AP026,AP022
FL00850,AI,AP042,AP048
FL00851,AI,AP027,AP046
FL00852,AI,AP003,AP018
FL00853,AI,AP038,AP019
FL00854,AI,AP022,AP006
FL00855,AI,AP036,AP032
FL00856,AI,AP013,AP009
FL00857,AI,AP042,AP030
FL00858,AI,AP014,AP006
FL00859,AI,AP022,AP035
FL00860,AI,AP023,AP007
FL00861,AI,AP048,AP017
FL00862,AI,AP036,AP014
FL00863,AI,AP027,AP035
FL00864,AI,AP049,AP039
FL00865,AI,AP039,AP043
FL00866,AI,AP041,AP035
FL00867,AI,AP001,AP038
FL00868,AI,AP042,AP044
FL00869,AI,AP017,AP001
FL00870,AI,AP011,AP017
FL00871,AI,AP044,AP048
