passenger_id,name,passenger_type,loyalty_level
P000097,Passenger_97,NORMAL,5
P000098,Passenger_98,NORMAL,3
P000099,Passenger_99,VIP,3
P000100,Passenger_100,UNACCOMPANIED_MINOR,5
P000101,Passenger_101,UNACCOMPANIED_MINOR,4
P000102,Passenger_102,UNACCOMPANIED_MINOR,5
P000103,Passenger_103,VIP,3
P000104,Passenger_104,LOYALTY,5
P000105,Passenger_105,NORMAL,3
P000106,Passenger_106,NORMAL,1
P000107,Passenger_107,VIP,1
P000108,Passenger_108,VIP,3
P000109,Passenger_109,UNACCOMPANIED_MINOR,4
P000110,Passenger_110,LOYALTY,5
P000111,Passenger_111,NORMAL,1
P000112,Passenger_112,LOYALTY,2
P000113,Passenger_113,LOYALTY,3
P000114,Passenger_114,VIP,5
P000115,Passenger_115,LOYALTY,2
P000116,Passenger_116,VIP,4
P000117,Passenger_117,UNACCOMPANIED_MINOR,5
P000118,Passenger_118,UNACCOMPANIED_MINOR,3
P000119,Passenger_119,LOYALTY,2
P000120,Passenger_120,NORMAL,3
P000121,Passenger_121,NORMAL,5
P000122,Passenger_122,NORMAL,5
P000123,Passenger_123,UNACCOMPANIED_MINOR,1
P000124,Passenger_124,LOYALTY,5
P000125,Passenger_125,VIP,3
P000126,Passenger_126,UNACCOMPANIED_MINOR,2
P000127,Passenger_127,UNACCOMPANIED_MINOR,5
P000128,Passenger_128,NORMAL,1
P000129,Passenger_129,UNACCOMPANIED_MINOR,0
P000130,Passenger_130,VIP,4
P000131,Passenger_131,LOYALTY,5
P000132,Passenger_132,UNACCOMPANIED_MINOR,5
P000133,Passenger_133,LOYALTY,0
P000134,Passenger_134,UNACCOMPANIED_MINOR,1
P000135,Passenger_135,UNACCOMPANIED_MINOR,2
P000136,Passenger_136,UNACCOMPANIED_MINOR,5
P000137,Passenger_137,VIP,2
P000138,Passenger_138,LOYALTY,4
P000139,Passenger_139,NORMAL,4
P000140,Passenger_140,VIP,0
P000141,Passenger_141,VIP,3
P000142,Passenger_142,UNACCOMPANIED_MINOR,1
P000143,Passenger_143,NORMAL,0
P000144,Passenger_144,UNACCOMPANIED_MINOR,1
P000145,Passenger_145,UNACCOMPANIED_MINOR,1
P000146,Passenger_146,NORMAL,0
P000147,Passenger_147,VIP,5
P000148,Passenger_148,NORMAL,3
P000149,Passenger_149,VIP,0
P000150,Passenger_150,UNACCOMPANIED_MINOR,4
P000151,Passenger_151,UNACCOMPANIED_MINOR,5
P000152,Passenger_152,NORMAL,2
P000153,Passenger_153,NORMAL,0
P000154,Passenger_154,LOYALTY,5
P000155,Passenger_155,VIP,1
P000156,Passenger_156,UNACCOMPANIED_MINOR,5
P000157,Passenger_157,LOYALTY,4
P000158,Passenger_158,UNACCOMPANIED_MINOR,2
P000159,Passenger_159,LOYALTY,3
P000160,Passenger_160,LOYALTY,4
P000161,Passenger_161,VIP,4
P000162,Passenger_162,UNACCOMPANIED_MINOR,3
P000163,Passenger_163,UNACCOMPANIED_MINOR,3
P000164,Passenger_164,NORMAL,2
P000165,Passenger_165,VIP,2
P000166,Passenger_166,NORMAL,3
P000167,Passenger_167,NORMAL,1
P000168,Passenger_168,UNACCOMPANIED_MINOR,4
P000169,Passenger_169,NORMAL,2
P000170,Passenger_170,VIP,5
P000171,Passenger_171,LOYALTY,3
P000172,Passenger_172,NORMAL,0
P000173,Passenger_173,LOYALTY,4
P000174,Passenger_174,LOYALTY,1
P000175,Passenger_175,NORMAL,1
P000176,Passenger_176,LOYALTY,3
P000177,Passenger_177,LOYALTY,3
P000178,Passenger_178,VIP,3
P000179,Passenger_179,NORMAL,1
P000180,Passenger_180,NORMAL,1
P000181,Passenger_181,UNACCOMPANIED_MINOR,4
P000182,Passenger_182,VIP,0
P000183,Passenger_183,VIP,3
P000184,Passenger_184,UNACCOMPANIED_MINOR,0
P000185,Passenger_185,LOYALTY,5
P000186,Passenger_186,NORMAL,4
P000187,Passenger_187,VIP,1
P000188,Passenger_188,VIP,0
P000189,Passenger_189,VIP,3
P000190,Passenger_190,NORMAL,3
P000191,Passenger_191,UNACCOMPANIED_MINOR,5
P000192,Passenger_192,VIP,2
P000193,Passenger_193,LOYALTY,1
P000194,Passenger_194,LOYALTY,5
P000195,Passenger_195,VIP,2
P000196,Passenger_196,LOYALTY,5
P000197,Passenger_197,VIP,4
P000198,Passenger_198,UNACCOMPANIED_MINOR,5
P000199,Passenger_199,NORMAL,3
P000200,Passenger_200,LOYALTY,0
P000201,Passenger_201,LOYALTY,1
P000202,Passenger_202,LOYALTY,4
P000203,Passenger_203,LOYALTY,1
P000204,Passenger_204,VIP,1
P000205,Passenger_205,UNACCOMPANIED_MINOR,4
P000206,Passenger_206,UNACCOMPANIED_MINOR,0
P000207,Passenger_207,VIP,5
P000208,Passenger_208,LOYALTY,2
P000209,Passenger_209,UNACCOMPANIED_MINOR,2
P000210,Passenger_210,UNACCOMPANIED_MINOR,1
P000211,Passenger_211,UNACCOMPANIED_MINOR,4
P000212,Passenger_212,VIP,5
P000213,Passenger_213,UNACCOMPANIED_MINOR,2
P000214,Passenger_214,UNACCOMPANIED_MINOR,2
P000215,Passenger_215,VIP,2
P000216,Passenger_216,NORMAL,3
P000217,Passenger_217,LOYALTY,4
P000218,Passenger_218,LOYALTY,0
P000219,Passenger_219,NORMAL,0
P000220,Passenger_220,VIP,5
P000221,Passenger_221,NORMAL,4
P000222,Passenger_222,NORMAL,4
P000223,Passenger_223,UNACCOMPANIED_MINOR,2
P000224,Passenger_224,UNACCOMPANIED_MINOR,5
P000225,Passenger_225,VIP,2
P000226,Passenger_226,NORMAL,5
P000227,Passenger_227,VIP,4
P000228,Passenger_228,NORMAL,5
P000229,Passenger_229,NORMAL,2
P000230,Passenger_230,NORMAL,0
P000231,Passenger_231,NORMAL,4
P000232,Passenger_232,UNACCOMPANIED_MINOR,3
P000233,Passenger_233,UNACCOMPANIED_MINOR,2
P000234,Passenger_234,VIP,3
P000235,Passenger_235,UNACCOMPANIED_MINOR,0
P000236,Passenger_236,LOYALTY,3
P000237,Passenger_237,UNACCOMPANIED_MINOR,3
P000238,Passenger_238,LOYALTY,3
P000239,Passenger_239,VIP,3
P000240,Passenger_240,VIP,1
P000241,Passenger_241,LOYALTY,1
P000242,Passenger_242,VIP,3
P000243,Passenger_243,UNACCOMPANIED_MINOR,2
P000244,Passenger_244,UNACCOMPANIED_MINOR,1
P000245,Passenger_245,LOYALTY,3
P000246,Passenger_246,LOYALTY,1
P000247,Passenger_247,UNACCOMPANIED_MINOR,1
P000248,Passenger_248,NORMAL,4
P000249,Passenger_249,NORMAL,2
P000250,Passenger_250,NORMAL,1
P000251,Passenger_251,LOYALTY,3
P000252,Passenger_252,VIP,1
P000253,Passenger_253,UNACCOMPANIED_MINOR,1
P000254,Passenger_254,VIP,2
P000255,Passenger_255,NORMAL,2
P000256,Passenger_256,LOYALTY,0
P000257,Passenger_257,VIP,0
P000258,Passenger_258,VIP,5
P000259,Passenger_259,NORMAL,2
P000260,Passenger_260,UNACCOMPANIED_MINOR,1
P000261,Passenger_261,UNACCOMPANIED_MINOR,0
P000262,Passenger_262,UNACCOMPANIED_MINOR,5
P000263,Passenger_263,UNACCOMPANIED_MINOR,1
P000264,Passenger_264,NORMAL,2
P000265,Passenger_265,VIP,4
P000266,Passenger_266,UNACCOMPANIED_MINOR,3
P000267,Passenger_267,LOYALTY,3
P000268,Passenger_268,UNACCOMPANIED_MINOR,0
P000269,Passenger_269,VIP,4
P000270,Passenger_270,NORMAL,4
P000271,Passenger_271,NORMAL,3
P000272,Passenger_272,VIP,3
P000273,Passenger_273,LOYALTY,3
P000274,Passenger_274,UNACCOMPANIED_MINOR,2
P000275,Passenger_275,LOYALTY,4
P000276,Passenger_276,UNACCOMPANIED_MINOR,5
P000277,Passenger_277,VIP,4
P000278,Passenger_278,UNACCOMPANIED_MINOR,2
P000279,Passenger_279,VIP,5
P000280,Passenger_280,VIP,3
P000281,Passenger_281,NORMAL,1
P000282,Passenger_282,NORMAL,5
P000283,Passenger_283,VIP,2
P000284,Passenger_284,VIP,5
P000285,Passenger_285,UNACCOMPANIED_MINOR,0
P000286,Passenger_286,UNACCOMPANIED_MINOR,1
P000287,Passenger_287,VIP,1
P000288,Passenger_288,VIP,3
P000289,Passenger_289,VIP,3
P000290,Passenger_290,UNACCOMPANIED_MINOR,3
P000291,Passenger_291,VIP,1
P000292,Passenger_292,UNACCOMPANIED_MINOR,5
P000293,Passenger_293,LOYALTY,0
P000294,Passenger_294,LOYALTY,1
P000295,Passenger_295,VIP,4
P000296,Passenger_296,UNACCOMPANIED_MINOR,3
P000297,Passenger_297,VIP,3
P000298,Passenger_298,NORMAL,4
P000299,Passenger_299,NORMAL,4
P000300,Passenger_300,UNACCOMPANIED_MINOR,2
P000301,Passenger_301,VIP,3
P000302,Passenger_302,LOYALTY,1
P000303,Passenger_303,LOYALTY,4
P000304,Passenger_304,NORMAL,5
P000305,Passenger_305,NORMAL,0
P000306,Passenger_306,VIP,4
P000307,Passenger_307,NORMAL,2
P000308,Passenger_308,VIP,2
P000309,Passenger_309,NORMAL,3
P000310,Passenger_310,LOYALTY,3
P000311,Passenger_311,VIP,4
P000312,Passenger_312,VIP,2
P000313,Passenger_313,NORMAL,2
P000314,Passenger_314,NORMAL,4
P000315,Passenger_315,LOYALTY,2
P000316,Passenger_316,VIP,1
P000317,Passenger_317,VIP,3
P000318,Passenger_318,LOYALTY,5
P000319,Passenger_319,UNACCOMPANIED_MINOR,0
P000320,Passenger_320,LOYALTY,1
P000321,Passenger_321,LOYALTY,1
P000322,Passenger_322,NORMAL,3
P000323,Passenger_323,VIP,1
P000324,Passenger_324,LOYALTY,2
P000325,Passenger_325,LOYALTY,5
P000326,Passenger_326,VIP,4
P000327,Passenger_327,UNACCOMPANIED_MINOR,2
P000328,Passenger_328,NORMAL,4
P000329,Passenger_329,UNACCOMPANIED_MINOR,1
P000330,Passenger_330,LOYALTY,5
P000331,Passenger_331,NORMAL,4
P000332,Passenger_332,UNACCOMPANIED_MINOR,0
P000333,Passenger_333,UNACCOMPANIED_MINOR,4
P000334,Passenger_334,UNACCOMPANIED_MINOR,5
P000335,Passenger_335,VIP,5
P000336,Passenger_336,UNACCOMPANIED_MINOR,4
P000337,Passenger_337,LOYALTY,5
P000338,Passenger_338,UNACCOMPANIED_MINOR,1
P000339,Passenger_339,UNACCOMPANIED_MINOR,3
P000340,Passenger_340,LOYALTY,0
P000341,Passenger_341,UNACCOMPANIED_MINOR,3
P000342,Passenger_342,LOYALTY,4
P000343,Passenger_343,LOYALTY,3
P000344,Passenger_344,UNACCOMPANIED_MINOR,3
P000345,Passenger_345,NORMAL,4
P000346,Passenger_346,UNACCOMPANIED_MINOR,5
P000347,Passenger_347,UNACCOMPANIED_MINOR,4
P000348,Passenger_348,VIP,2
P000349,Passenger_349,NORMAL,0
P000350,Passenger_350,VIP,2
P000351,Passenger_351,VIP,5
P000352,Passenger_352,NORMAL,3
P000353,Passenger_353,LOYALTY,4
P000354,Passenger_354,UNACCOMPANIED_MINOR,1
P000355,Passenger_355,NORMAL,5
P000356,Passenger_356,NORMAL,0
P000357,Passenger_357,UNACCOMPANIED_MINOR,4
P000358,Passenger_358,LOYALTY,5
P000359,Passenger_359,LOYALTY,5
P000360,Passenger_360,LOYALTY,3
P000361,Passenger_361,VIP,1
P000362,Passenger_362,UNACCOMPANIED_MINOR,4
P000363,Passenger_363,LOYALTY,2
P000364,Passenger_364,VIP,3
P000365,Passenger_365,LOYALTY,0
P000366,Passenger_366,VIP,4
P000367,Passenger_367,VIP,5
P000368,Passenger_368,NORMAL,5
P000369,Passenger_369,VIP,3
P000370,Passenger_370,UNACCOMPANIED_MINOR,0
P000371,Passenger_371,NORMAL,3
P000372,Passenger_372,UNACCOMPANIED_MINOR,2
P000373,Passenger_373,LOYALTY,4
P000374,Passenger_374,UNACCOMPANIED_MINOR,1
P000375,Passenger_375,VIP,5
P000376,Passenger_376,VIP,4
P000377,Passenger_377,NORMAL,5
P000378,Passenger_378,UNACCOMPANIED_MINOR,5
P000379,Passenger_379,NORMAL,4
P000380,Passenger_380,VIP,0
P000381,Passenger_381,UNACCOMPANIED_MINOR,2
P000382,Passenger_382,VIP,1
P000383,Passenger_383,NORMAL,2
P000384,Passenger_384,LOYALTY,5
P000385,Passenger_385,UNACCOMPANIED_MINOR,2
P000386,Passenger_386,UNACCOMPANIED_MINOR,1
P000387,Passenger_387,UNACCOMPANIED_MINOR,4
P000388,Passenger_388,LOYALTY,4
P000389,Passenger_389,VIP,0
P000390,Passenger_390,UNACCOMPANIED_MINOR,5
P000391,Passenger_391,NORMAL,2
P000392,Passenger_392,NORMAL,1
P000393,Passenger_393,NORMAL,3
P000394,Passenger_394,UNACCOMPANIED_MINOR,3
P000395,Passenger_395,LOYALTY,0
P000396,Passenger_396,LOYALTY,4
P000397,Passenger_397,NORMAL,2
P000398,Passenger_398,UNACCOMPANIED_MINOR,4
P000399,Passenger_399,LOYALTY,4
P000400,Passenger_400,UNACCOMPANIED_MINOR,0
P000401,Passenger_401,LOYALTY,3
P000402,Passenger_402,VIP,1
P000403,Passenger_403,UNACCOMPANIED_MINOR,4
P000404,Passenger_404,LOYALTY,0
P000405,Passenger_405,VIP,5
P000406,Passenger_406,LOYALTY,2
P000407,Passenger_407,NORMAL,1
P000408,Passenger_408,UNACCOMPANIED_MINOR,0
P000409,Passenger_409,UNACCOMPANIED_MINOR,1
P000410,Passenger_410,NORMAL,3
P000411,Passenger_411,LOYALTY,4
P000412,Passenger_412,NORMAL,4
P000413,Passenger_413,VIP,4
P000414,Passenger_414,LOYALTY,0
P000415,Passenger_415,UNACCOMPANIED_MINOR,4
P000416,Passenger_416,VIP,5
P000417,Passenger_417,LOYALTY,3
P000418,Passenger_418,NORMAL,3
P000419,Passenger_419,UNACCOMPANIED_MINOR,1
P000420,Passenger_420,LOYALTY,4
P000421,Passenger_421,UNACCOMPANIED_MINOR,3
P000422,Passenger_422,VIP,5
P000423,Passenger_423,UNACCOMPANIED_MINOR,0
P000424,Passenger_424,UNACCOMPANIED_MINOR,3
P000425,Passenger_425,UNACCOMPANIED_MINOR,2
P000426,Passenger_426,VIP,4
P000427,Passenger_427,VIP,3
P000428,Passenger_428,LOYALTY,5
P000429,Passenger_429,VIP,2
P000430,Passenger_430,NORMAL,0
P000431,Passenger_431,VIP,5
P000432,Passenger_432,UNACCOMPANIED_MINOR,3
P000433,Passenger_433,LOYALTY,2
P000434,Passenger_434,NORMAL,2
P000435,Passenger_435,NORMAL,1
P000436,Passenger_436,VIP,5
P000437,Passenger_437,NORMAL,0
P000438,Passenger_438,VIP,2
P000439,Passenger_439,UNACCOMPANIED_MINOR,1
P000440,Passenger_440,LOYALTY,2
P000441,Passenger_441,UNACCOMPANIED_MINOR,4
P000442,Passenger_442,VIP,2
P000443,Passenger_443,UNACCOMPANIED_MINOR,5
P000444,Passenger_444,LOYALTY,0
P000445,Passenger_445,NORMAL,1
P000446,Passenger_446,VIP,0
P000447,Passenger_447,NORMAL,2
P000448,Passenger_448,NORMAL,2
P000449,Passenger_449,NORMAL,3
P000450,Passenger_450,VIP,4
P000451,Passenger_451,LOYALTY,0
P000452,Passenger_452,UNACCOMPANIED_MINOR,3
P000453,Passenger_453,NORMAL,4
P000454,Passenger_454,NORMAL,3
P000455,Passenger_455,NORMAL,0
P000456,Passenger_456,VIP,5
P000457,Passenger_457,VIP,5
P000458,Passenger_458,UNACCOMPANIED_MINOR,3
P000459,Passenger_459,NORMAL,1
P000460,Passenger_460,VIP,0
P000461,Passenger_461,VIP,3
P000462,Passenger_462,VIP,0
P000463,Passenger_463,NORMAL,0
P000464,Passenger_464,VIP,2
P000465,Passenger_465,VIP,0
P000466,Passenger_466,LOYALTY,1
P000467,Passenger_467,UNACCOMPANIED_MINOR,0
P000468,Passenger_468,UNACCOMPANIED_MINOR,4
P000469,Passenger_469,NORMAL,5
P000470,Passenger_470,UNACCOMPANIED_MINOR,2
P000471,Passenger_471,VIP,4
P000472,Passenger_472,LOYALTY,2
P000473,Passenger_473,UNACCOMPANIED_MINOR,5
P000474,Passenger_474,VIP,5
P000475,Passenger_475,NORMAL,5
P000476,Passenger_476,LOYALTY,5
P000477,Passenger_477,UNACCOMPANIED_MINOR,1
P000478,Passenger_478,LOYALTY,3
P000479,Passenger_479,VIP,3
P000480,Passenger_480,LOYALTY,1
P000481,Passenger_481,VIP,2
P000482,Passenger_482,VIP,4
P000483,Passenger_483,NORMAL,3
P000484,Passenger_484,NORMAL,4
P000485,Passenger_485,LOYALTY,1
P000486,Passenger_486,VIP,0
P000487,Passenger_487,VIP,5
P000488,Passenger_488,LOYALTY,2
P000489,Passenger_489,VIP,5
P000490,Passenger_490,UNACCOMPANIED_MINOR,3
P000491,Passenger_491,LOYALTY,5
P000492,Passenger_492,NORMAL,0
P000493,Passenger_493,NORMAL,2
P000494,Passenger_494,VIP,1
P000495,Passenger_495,NORMAL,2
P000496,Passenger_496,UNACCOMPANIED_MINOR,3
P000497,Passenger_497,LOYALTY,2
P000498,Passenger_498,NORMAL,2
P000499,Passenger_499,NORMAL,5
P000500,Passenger_500,UNACCOMPANIED_MINOR,0
P000501,Passenger_501,UNACCOMPANIED_MINOR,0
P000502,Passenger_502,UNACCOMPANIED_MINOR,1
P000503,Passenger_503,NORMAL,3
P000504,Passenger_504,NORMAL,4
P000505,Passenger_505,NORMAL,3
P000506,Passenger_506,UNACCOMPANIED_MINOR,4
P000507,Passenger_507,NORMAL,1
P000508,Passenger_508,NORMAL,1
P000509,Passenger_509,VIP,3
P000510,Passenger_510,NORMAL,5
P000511,Passenger_511,LOYALTY,4
P000512,Passenger_512,NORMAL,2
P000513,Passenger_513,NORMAL,0
P000514,Passenger_514,UNACCOMPANIED_MINOR,2
P000515,Passenger_515,VIP,2
P000516,Passenger_516,UNACCOMPANIED_MINOR,3
P000517,Passenger_517,LOYALTY,2
P000518,Passenger_518,UNACCOMPANIED_MINOR,1
P000519,Passenger_519,NORMAL,1
P000520,Passenger_520,VIP,1
P000521,Passenger_521,UNACCOMPANIED_MINOR,0
P000522,Passenger_522,LOYALTY,3
P000523,Passenger_523,UNACCOMPANIED_MINOR,4
P000524,Passenger_524,UNACCOMPANIED_MINOR,3
P000525,Passenger_525,LOYALTY,1
P000526,Passenger_526,VIP,3
P000527,Passenger_527,VIP,3
P000528,Passenger_528,VIP,2
P000529,Passenger_529,NORMAL,4
P000530,Passenger_530,NORMAL,5
P000531,Passenger_531,UNACCOMPANIED_MINOR,0
P000532,Passenger_532,UNACCOMPANIED_MINOR,1
P000533,Passenger_533,LOYALTY,0
P000534,Passenger_534,VIP,3
P000535,Passenger_535,NORMAL,3
P000536,Passenger_536,NORMAL,2
P000537,Passenger_537,LOYALTY,3
P000538,Passenger_538,NORMAL,2
P000539,Passenger_539,VIP,3
P000540,Passenger_540,NORMAL,3
P000541,Passenger_541,VIP,0
P000542,Passenger_542,VIP,2
P000543,Passenger_543,NORMAL,2
P000544,Passenger_544,LOYALTY,3
P000545,Passenger_545,VIP,2
P000546,Passenger_546,VIP,5
P000547,Passenger_547,LOYALTY,4
P000548,Passenger_548,UNACCOMPANIED_MINOR,5
P000549,Passenger_549,VIP,5
P000550,Passenger_550,VIP,2
P000551,Passenger_551,NORMAL,5
P000552,Passenger_552,NORMAL,1
P000553,Passenger_553,UNACCOMPANIED_MINOR,4
P000554,Passenger_554,NORMAL,2
P000555,Passenger_555,UNACCOMPANIED_MINOR,3
P000556,Passenger_556,LOYALTY,0
P000557,Passenger_557,LOYALTY,4
P000558,Passenger_558,LOYALTY,3
P000559,Passenger_559,LOYALTY,4
P000560,Passenger_560,UNACCOMPANIED_MINOR,2
P000561,Passenger_561,LOYALTY,2
P000562,Passenger_562,LOYALTY,3
P000563,Passenger_563,UNACCOMPANIED_MINOR,0
P000564,Passenger_564,UNACCOMPANIED_MINOR,2
P000565,Passenger_565,NORMAL,2
P000566,Passenger_566,UNACCOMPANIED_MINOR,2
P000567,Passenger_567,VIP,0
P000568,Passenger_568,LOYALTY,3
P000569,Passenger_569,NORMAL,1
P000570,Passenger_570,VIP,1
P000571,Passenger_571,VIP,1
P000572,Passenger_572,VIP,2
P000573,Passenger_573,VIP,3
P000574,Passenger_574,NORMAL,4
P000575,Passenger_575,LOYALTY,1
P000576,Passenger_576,UNACCOMPANIED_MINOR,5
P000577,Passenger_577,LOYALTY,0
P000578,Passenger_578,LOYALTY,4
P000579,Passenger_579,VIP,0
P000580,Passenger_580,VIP,2
P000581,Passenger_581,NORMAL,0
P000582,Passenger_582,VIP,2
P000583,Passenger_583,LOYALTY,5
P000584,Passenger_584,VIP,1
P000585,Passenger_585,UNACCOMPANIED_MINOR,2
P000586,Passenger_586,NORMAL,2
P000587,Passenger_587,UNACCOMPANIED_MINOR,4
P000588,Passenger_588,NORMAL,4
P000589,Passenger_589,VIP,5
P000590,Passenger_590,LOYALTY,5
P000591,Passenger_591,NORMAL,3
P000592,Passenger_592,LOYALTY,3
P000593,Passenger_593,NORMAL,1
P000594,Passenger_594,UNACCOMPANIED_MINOR,1
P000595,Passenger_595,LOYALTY,2
P000596,Passenger_596,NORMAL,5
P000597,Passenger_597,LOYALTY,5
P000598,Passenger_598,LOYALTY,3
P000599,Passenger_599,NORMAL,5
P000600,Passenger_600,LOYALTY,1
P000601,Passenger_601,UNACCOMPANIED_MINOR,3
P000602,Passenger_602,LOYALTY,3
P000603,Passenger_603,LOYALTY,1
P000604,Passenger_604,LOYALTY,3
P000605,Passenger_605,LOYALTY,3
P000606,Passenger_606,UNACCOMPANIED_MINOR,5
P000607,Passenger_607,UNACCOMPANIED_MINOR,3
P000608,Passenger_608,VIP,3
P000609,Passenger_609,VIP,4
P000610,Passenger_610,NORMAL,4
P000611,Passenger_611,VIP,3
P000612,Passenger_612,UNACCOMPANIED_MINOR,5
P000613,Passenger_613,UNACCOMPANIED_MINOR,2
P000614,Passenger_614,LOYALTY,4
P000615,Passenger_615,VIP,2
P000616,Passenger_616,LOYALTY,0
P000617,Passenger_617,LOYALTY,3
P000618,Passenger_618,UNACCOMPANIED_MINOR,2
P000619,Passenger_619,UNACCOMPANIED_MINOR,1
P000620,Passenger_620,UNACCOMPANIED_MINOR,3
P000621,Passenger_621,VIP,5
P000622,Passenger_622,NORMAL,5
P000623,Passenger_623,VIP,1
P000624,Passenger_624,UNACCOMPANIED_MINOR,5
P000625,Passenger_625,UNACCOMPANIED_MINOR,3
P000626,Passenger_626,LOYALTY,1
P000627,Passenger_627,NORMAL,1
P000628,Passenger_628,NORMAL,3
P000629,Passenger_629,NORMAL,5
P000630,Passenger_630,LOYALTY,0
P000631,Passenger_631,UNACCOMPANIED_MINOR,3
P000632,Passenger_632,NORMAL,2
P000633,Passenger_633,LOYALTY,2
P000634,Passenger_634,NORMAL,1
P000635,Passenger_635,LOYALTY,1
P000636,Passenger_636,LOYALTY,0
P000637,Passenger_637,VIP,5
P000638,Passenger_638,NORMAL,4
P000639,Passenger_639,NORMAL,0
P000640,Passenger_640,UNACCOMPANIED_MINOR,3
P000641,Passenger_641,VIP,4
P000642,Passenger_642,NORMAL,1
P000643,Passenger_643,LOYALTY,3
P000644,Passenger_644,LOYALTY,4
P000645,Passenger_645,NORMAL,0
P000646,Passenger_646,LOYALTY,4
P000647,Passenger_647,VIP,1
P000648,Passenger_648,NORMAL,0
P000649,Passenger_649,VIP,2
P000650,Passenger_650,LOYALTY,4
