pnr_id,passenger_id,flight_id,seat_class
PNR000072,P000072,FL07780,ECONOMY
PNR000073,P000073,FL09024,FIRST
PNR000074,P000074,FL08936,BUSINESS
PNR000075,P000075,FL05718,FIRST
PNR000076,P000076,FL02727,BUSINESS
PNR000077,P000077,FL07828,BUSINESS
PNR000078,P000078,FL01064,FIRST
PNR000079,P000079,FL04770,BUSINESS
PNR000080,P000080,FL08732,BUSINESS
PNR000081,P000081,FL05989,BUSINESS
PNR000082,P000082,FL07802,ECONOMY
PNR000083,P000083,FL03965,ECONOMY
PNR000084,P000084,FL04719,BUSINESS
PNR000085,P000085,FL05499,BUSINESS
PNR000086,P000086,FL02665,BUSINESS
PNR000087,P000087,FL03776,ECONOMY
PNR000088,P000088,FL06088,FIRST
PNR000089,P000089,FL07368,ECONOMY
PNR000090,P000090,FL06599,BUSINESS
PNR000091,P000091,FL03683,BUSINESS
PNR000092,P000092,FL04387,BUSINESS
PNR000093,P000093,FL03023,FIRST
PNR000094,P000094,FL04837,ECONOMY
PNR000095,P000095,FL03165,FIRST
PNR000096,P000096,FL04418,BUSINESS
PNR000097,P000097,FL04534,BUSINESS
PNR000098,P000098,FL02824,BUSINESS
PNR000099,P000099,FL02220,FIRST
PNR000100,P000100,FL06697,ECONOMY
PNR000101,P000101,FL00825,FIRST
PNR000102,P000102,FL09183,BUSINESS
PNR000103,P000103,FL06330,BUSINESS
PNR000104,P000104,FL02364,FIRST
PNR000105,P000105,FL09430,BUSINESS
PNR000106,P000106,FL07632,ECONOMY
PNR000107,P000107,FL02710,ECONOMY
PNR000108,P000108,FL08630,BUSINESS
PNR000109,P000109,FL00151,BUSINESS
PNR000110,P000110,FL03751,ECONOMY
PNR000111,P000111,FL05917,FIRST
PNR000112,P000112,FL05930,FIRST
PNR000113,P000113,FL03839,FIRST
PNR000114,P000114,FL08057,BUSINESS
PNR000115,P000115,FL08377,BUSINESS
PNR000116,P000116,FL05398,BUSINESS
PNR000117,P000117,FL04867,FIRST
PNR000118,P000118,FL06793,FIRST
PNR000119,P000119,FL09036,FIRST
PNR000120,P000120,FL08872,BUSINESS
PNR000121,P000121,FL04282,ECONOMY
PNR000122,P000122,FL05066,ECONOMY
PNR000123,P000123,FL09505,FIRST
PNR000124,P000124,FL02300,ECONOMY
PNR000125,P000125,FL01575,FIRST
PNR000126,P000126,FL03605,BUSINESS
PNR000127,P000127,FL04363,BUSINESS
PNR000128,P000128,FL00739,FIRST
PNR000129,P000129,FL06751,BUSINESS
PNR000130,P000130,FL09737,ECONOMY
PNR000131,P000131,FL05470,FIRST
PNR000132,P000132,FL02850,BUSINESS
PNR000133,P000133,FL05018,BUSINESS
PNR000134,P000134,FL06948,BUSINESS
PNR000135,P000135,FL06953,BUSINESS
PNR000136,P000136,FL02271,ECONOMY
PNR000137,P000137,FL00320,FIRST
PNR000138,P000138,FL02459,FIRST
PNR000139,P000139,FL03376,ECONOMY
PNR000140,P000140,FL07107,BUSINESS
PNR000141,P000141,FL02593,FIRST
PNR000142,P000142,FL05444,FIRST
PNR000143,P000143,FL01170,BUSINESS
PNR000144,P000144,FL03356,ECONOMY
PNR000145,P000145,FL02996,FIRST
PNR000146,P000146,FL01800,BUSINESS
PNR000147,P000147,FL00260,ECONOMY
PNR000148,P000148,FL09321,FIRST
PNR000149,P000149,FL09079,BUSINESS
PNR000150,P000150,FL06933,ECONOMY
PNR000151,P000151,FL09477,ECONOMY
PNR000152,P000152,FL08995,ECONOMY
PNR000153,P000153,FL04973,ECONOMY
PNR000154,P000154,FL05949,BUSINESS
PNR000155,P000155,FL04890,FIRST
PNR000156,P000156,FL07629,ECONOMY
PNR000157,P000157,FL02389,BUSINESS
PNR000158,P000158,FL05915,ECONOMY
PNR000159,P000159,FL01675,BUSINESS
PNR000160,P000160,FL00949,ECONOMY
PNR000161,P000161,FL08131,ECONOMY
PNR000162,P000162,FL09115,BUSINESS
PNR000163,P000163,FL01788,FIRST
PNR000164,P000164,FL09707,FIRST
PNR000165,P000165,FL00275,FIRST
PNR000166,P000166,FL09586,ECONOMY
PNR000167,P000167,FL09530,ECONOMY
PNR000168,P000168,FL05874,BUSINESS
PNR000169,P000169,FL05842,BUSINESS
PNR000170,P000170,FL05483,ECONOMY
PNR000171,P000171,FL04546,FIRST
PNR000172,P000172,FL09238,ECONOMY
PNR000173,P000173,FL01167,FIRST
PNR000174,P000174,FL03485,FIRST
PNR000175,P000175,FL04769,ECONOMY
PNR000176,P000176,FL05796,FIRST
PNR000177,P000177,FL09606,ECONOMY
PNR000178,P000178,FL09959,FIRST
PNR000179,P000179,FL07514,BUSINESS
PNR000180,P000180,FL00143,FIRST
PNR000181,P000181,FL04806,BUSINESS
PNR000182,P000182,FL05683,ECONOMY
PNR000183,P000183,FL06662,FIRST
PNR000184,P000184,FL02183,FIRST
PNR000185,P000185,FL05220,ECONOMY
PNR000186,P000186,FL06084,FIRST
PNR000187,P000187,FL04864,BUSINESS
PNR000188,P000188,FL02632,BUSINESS
PNR000189,P000189,FL01058,FIRST
PNR000190,P000190,FL03360,ECONOMY
PNR000191,P000191,FL03989,BUSINESS
PNR000192,P000192,FL06385,BUSINESS
PNR000193,P000193,FL03363,FIRST
PNR000194,P000194,FL09512,BUSINESS
PNR000195,P000195,FL08946,ECONOMY
PNR000196,P000196,FL03289,FIRST
PNR000197,P000197,FL07246,ECONOMY
PNR000198,P000198,FL01871,FIRST
PNR000199,P000199,FL05988,BUSINESS
PNR000200,P000200,FL00069,FIRST
PNR000201,P000201,FL04838,ECONOMY
PNR000202,P000202,FL09536,FIRST
PNR000203,P000203,FL02953,BUSINESS
PNR000204,P000204,FL09680,ECONOMY
PNR000205,P000205,FL01544,FIRST
PNR000206,P000206,FL07676,ECONOMY
PNR000207,P000207,FL01710,BUSINESS
PNR000208,P000208,FL09790,ECONOMY
PNR000209,P000209,FL00246,BUSINESS
PNR000210,P000210,FL04014,ECONOMY
PNR000211,P000211,FL05777,ECONOMY
PNR000212,P000212,FL09101,BUSINESS
PNR000213,P000213,FL06599,ECONOMY
PNR000214,P000214,FL04710,ECONOMY
PNR000215,P000215,FL02777,FIRST
PNR000216,P000216,FL07014,ECONOMY
PNR000217,P000217,FL05571,ECONOMY
PNR000218,P000218,FL09337,ECONOMY
PNR000219,P000219,FL04760,FIRST
PNR000220,P000220,FL00367,ECONOMY
PNR000221,P000221,FL02194,BUSINESS
PNR000222,P000222,FL05603,BUSINESS
PNR000223,P000223,FL06784,FIRST
PNR000224,P000224,FL06619,BUSINESS
PNR000225,P000225,FL02299,ECONOMY
PNR000226,P000226,FL06246,ECONOMY
PNR000227,P000227,FL04347,BUSINESS
PNR000228,P000228,FL07881,FIRST
PNR000229,P000229,FL06099,FIRST
PNR000230,P000230,FL05824,BUSINESS
PNR000231,P000231,FL00311,BUSINESS
PNR000232,P000232,FL06822,ECONOMY
PNR000233,P000233,FL07759,BUSINESS
PNR000234,P000234,FL02390,FIRST
PNR000235,P000235,FL07208,ECONOMY
PNR000236,P000236,FL01662,FIRST
PNR000237,P000237,FL06213,BUSINESS
PNR000238,P000238,FL02156,FIRST
PNR000239,P000239,FL01094,FIRST
PNR000240,P000240,FL06551,ECONOMY
PNR000241,P000241,FL06044,BUSINESS
PNR000242,P000242,FL09382,FIRST
PNR000243,P000243,FL02817,ECONOMY
PNR000244,P000244,FL02339,BUSINESS
PNR000245,P000245,FL07116,FIRST
PNR000246,P000246,FL09737,FIRST
PNR000247,P000247,FL02496,BUSINESS
PNR000248,P000248,FL01929,BUSINESS
PNR000249,P000249,FL01748,FIRST
PNR000250,P000250,FL09103,BUSINESS
PNR000251,P000251,FL06027,ECONOMY
PNR000252,P000252,FL07576,ECONOMY
PNR000253,P000253,FL06541,FIRST
PNR000254,P000254,FL09884,ECONOMY
PNR000255,P000255,FL04101,FIRST
PNR000256,P000256,FL03592,BUSINESS
PNR000257,P000257,FL08247,FIRST
PNR000258,P000258,FL04190,BUSINESS
PNR000259,P000259,FL00140,ECONOMY
PNR000260,P000260,FL07667,FIRST
PNR000261,P000261,FL01234,BUSINESS
PNR000262,P000262,FL00929,FIRST
PNR000263,P000263,FL06432,ECONOMY
PNR000264,P000264,FL08991,FIRST
PNR000265,P000265,FL04723,ECONOMY
PNR000266,P000266,FL02809,BUSINESS
PNR000267,P000267,FL05883,BUSINESS
PNR000268,P000268,FL00480,BUSINESS
PNR000269,P000269,FL02881,ECONOMY
PNR000270,P000270,FL05348,BUSINESS
PNR000271,P000271,FL06933,BUSINESS
PNR000272,P000272,FL06832,FIRST
PNR000273,P000273,FL07506,ECONOMY
PNR000274,P000274,FL09483,BUSINESS
PNR000275,P000275,FL06844,BUSINESS
PNR000276,P000276,FL06160,FIRST
PNR000277,P000277,FL00641,FIRST
PNR000278,P000278,FL07007,BUSINESS
PNR000279,P000279,FL05497,ECONOMY
PNR000280,P000280,FL04253,FIRST
PNR000281,P000281,FL01730,ECONOMY
PNR000282,P000282,FL08086,ECONOMY
PNR000283,P000283,FL07924,ECONOMY
PNR000284,P000284,FL05984,ECONOMY
PNR000285,P000285,FL04367,ECONOMY
PNR000286,P000286,FL07069,ECONOMY
PNR000287,P000287,FL07057,BUSINESS
PNR000288,P000288,FL06809,ECONOMY
PNR000289,P000289,FL05804,FIRST
PNR000290,P000290,FL04731,ECONOMY
PNR000291,P000291,FL09970,FIRST
PNR000292,P000292,FL07833,ECONOMY
PNR000293,P000293,FL02629,ECONOMY
PNR000294,P000294,FL03609,BUSINESS
PNR000295,P000295,FL02320,BUSINESS
PNR000296,P000296,FL09998,FIRST
PNR000297,P000297,FL09846,ECONOMY
PNR000298,P000298,FL05601,FIRST
PNR000299,P000299,FL01269,FIRST
PNR000300,P000300,FL07211,BUSINESS
PNR000301,P000301,FL02016,BUSINESS
PNR000302,P000302,FL01748,FIRST
PNR000303,P000303,FL04140,FIRST
PNR000304,P000304,FL04723,BUSINESS
PNR000305,P000305,FL04368,BUSINESS
PNR000306,P000306,FL08671,BUSINESS
PNR000307,P000307,FL09360,FIRST
PNR000308,P000308,FL06185,BUSINESS
PNR000309,P000309,FL06918,ECONOMY
PNR000310,P000310,FL05888,BUSINESS
PNR000311,P000311,FL03596,BUSINESS
PNR000312,P000312,FL07975,ECONOMY
PNR000313,P000313,FL07982,BUSINESS
PNR000314,P000314,FL00732,ECONOMY
PNR000315,P000315,FL07855,FIRST
PNR000316,P000316,FL01302,ECONOMY
PNR000317,P000317,FL09182,FIRST
PNR000318,P000318,FL03590,ECONOMY
PNR000319,P000319,FL07965,BUSINESS
PNR000320,P000320,FL05680,BUSINESS
PNR000321,P000321,FL01180,BUSINESS
PNR000322,P000322,FL06663,FIRST
PNR000323,P000323,FL07438,ECONOMY
PNR000324,P000324,FL04516,BUSINESS
PNR000325,P000325,FL07723,FIRST
PNR000326,P000326,FL07632,ECONOMY
PNR000327,P000327,FL04168,ECONOMY
PNR000328,P000328,FL03164,ECONOMY
PNR000329,P000329,FL09747,BUSINESS
PNR000330,P000330,FL05451,BUSINESS
PNR000331,P000331,FL01028,FIRST
PNR000332,P000332,FL05266,FIRST
PNR000333,P000333,FL07410,FIRST
PNR000334,P000334,FL02038,FIRST
PNR000335,P000335,FL02523,FIRST
PNR000336,P000336,FL03373,ECONOMY
PNR000337,P000337,FL06655,FIRST
PNR000338,P000338,FL09487,ECONOMY
PNR000339,P000339,FL01707,ECONOMY
PNR000340,P000340,FL01084,ECONOMY
PNR000341,P000341,FL02395,BUSINESS
PNR000342,P000342,FL04255,FIRST
PNR000343,P000343,FL05245,FIRST
PNR000344,P000344,FL08287,FIRST
PNR000345,P000345,FL09297,BUSINESS
PNR000346,P000346,FL05717,BUSINESS
PNR000347,P000347,FL09451,FIRST
PNR000348,P000348,FL04623,BUSINESS
PNR000349,P000349,FL03840,ECONOMY
PNR000350,P000350,FL06236,ECONOMY
PNR000351,P000351,FL03446,ECONOMY
PNR000352,P000352,FL06151,ECONOMY
PNR000353,P000353,FL06366,FIRST
PNR000354,P000354,FL02581,BUSINESS
PNR000355,P000355,FL02154,ECONOMY
PNR000356,P000356,FL09847,ECONOMY
PNR000357,P000357,FL09248,FIRST
PNR000358,P000358,FL06770,ECONOMY
PNR000359,P000359,FL07385,BUSINESS
PNR000360,P000360,FL00155,BUSINESS
PNR000361,P000361,FL01544,FIRST
PNR000362,P000362,FL07360,FIRST
PNR000363,P000363,FL01684,BUSINESS
PNR000364,P000364,FL04950,FIRST
PNR000365,P000365,FL05309,ECONOMY
PNR000366,P000366,FL00878,ECONOMY
PNR000367,P000367,FL08944,ECONOMY
PNR000368,P000368,FL01768,BUSINESS
PNR000369,P000369,FL07221,ECONOMY
PNR000370,P000370,FL01630,BUSINESS
PNR000371,P000371,FL06507,FIRST
PNR000372,P000372,FL04666,BUSINESS
PNR000373,P000373,FL05679,ECONOMY
PNR000374,P000374,FL09798,BUSINESS
PNR000375,P000375,FL03695,ECONOMY
PNR000376,P000376,FL02797,FIRST
PNR000377,P000377,FL06414,FIRST
PNR000378,P000378,FL05473,FIRST
PNR000379,P000379,FL09943,FIRST
PNR000380,P000380,FL05117,ECONOMY
PNR000381,P000381,FL05903,ECONOMY
PNR000382,P000382,FL07334,ECONOMY
PNR000383,P000383,FL07293,BUSINESS
PNR000384,P000384,FL03168,FIRST
PNR000385,P000385,FL08827,ECONOMY
PNR000386,P000386,FL01965,BUSINESS
PNR000387,P000387,FL01740,FIRST
PNR000388,P000388,FL09880,BUSINESS
PNR000389,P000389,FL06688,BUSINESS
PNR000390,P000390,FL09436,ECONOMY
PNR000391,P000391,FL04601,ECONOMY
PNR000392,P000392,FL08876,ECONOMY
PNR000393,P000393,FL00558,BUSINESS
PNR000394,P000394,FL02076,BUSINESS
PNR000395,P000395,FL05861,BUSINESS
PNR000396,P000396,FL08598,FIRST
PNR000397,P000397,FL08812,ECONOMY
PNR000398,P000398,FL04719,BUSINESS
PNR000399,P000399,FL05024,ECONOMY
PNR000400,P000400,FL06306,BUSINESS
PNR000401,P000401,FL00601,BUSINESS
PNR000402,P000402,FL09068,BUSINESS
PNR000403,P000403,FL00665,FIRST
PNR000404,P000404,FL03256,ECONOMY
PNR000405,P000405,FL01017,ECONOMY
PNR000406,P000406,FL06013,FIRST
PNR000407,P000407,FL02802,ECONOMY
PNR000408,P000408,FL00919,FIRST
PNR000409,P000409,FL07056,BUSINESS
PNR000410,P000410,FL08041,BUSINESS
PNR000411,P000411,FL04988,FIRST
PNR000412,P000412,FL04622,BUSINESS
PNR000413,P000413,FL04411,BUSINESS
PNR000414,P000414,FL08247,FIRST
PNR000415,P000415,FL03777,BUSINESS
PNR000416,P000416,FL09591,ECONOMY
PNR000417,P000417,FL02099,FIRST
PNR000418,P000418,FL03531,BUSINESS
PNR000419,P000419,FL05892,FIRST
PNR000420,P000420,FL01902,FIRST
PNR000421,P000421,FL01544,ECONOMY
PNR000422,P000422,FL07290,FIRST
PNR000423,P000423,FL07459,FIRST
PNR000424,P000424,FL07840,ECONOMY
PNR000425,P000425,FL08745,BUSINESS
PNR000426,P000426,FL09255,ECONOMY
PNR000427,P000427,FL05848,FIRST
PNR000428,P000428,FL09715,BUSINESS
PNR000429,P000429,FL02974,FIRST
PNR000430,P000430,FL01700,ECONOMY
PNR000431,P000431,FL04929,ECONOMY
PNR000432,P000432,FL00155,BUSINESS
PNR000433,P000433,FL09671,ECONOMY
PNR000434,P000434,FL08641,BUSINESS
PNR000435,P000435,FL07226,BUSINESS
PNR000436,P000436,FL08683,ECONOMY
PNR000437,P000437,FL04464,BUSINESS
PNR000438,P000438,FL00572,FIRST
PNR000439,P000439,FL03212,BUSINESS
PNR000440,P000440,FL03804,FIRST
PNR000441,P000441,FL01915,ECONOMY
PNR000442,P000442,FL05967,ECONOMY
PNR000443,P000443,FL01021,ECONOMY
PNR000444,P000444,FL04515,FIRST
PNR000445,P000445,FL09592,BUSINESS
PNR000446,P000446,FL00003,FIRST
PNR000447,P000447,FL05906,BUSINESS
PNR000448,P000448,FL07938,ECONOMY
PNR000449,P000449,FL02564,FIRST
PNR000450,P000450,FL03125,BUSINESS
PNR000451,P000451,FL01140,FIRST
PNR000452,P000452,FL01677,ECONOMY
PNR000453,P000453,FL07830,FIRST
PNR000454,P000454,FL05506,BUSINESS
PNR000455,P000455,FL00289,FIRST
PNR000456,P000456,FL05915,ECONOMY
PNR000457,P000457,FL06721,FIRST
PNR000458,P000458,FL06459,BUSINESS
PNR000459,P000459,FL00700,FIRST
PNR000460,P000460,FL00892,ECONOMY
PNR000461,P000461,FL04748,ECONOMY
PNR000462,P000462,FL02268,ECONOMY
PNR000463,P000463,FL03416,FIRST
PNR000464,P000464,FL08434,FIRST
PNR000465,P000465,FL03434,FIRST
PNR000466,P000466,FL09017,FIRST
PNR000467,P000467,FL05254,ECONOMY
PNR000468,P000468,FL03134,BUSINESS
PNR000469,P000469,FL07776,ECONOMY
PNR000470,P000470,FL02141,BUSINESS
PNR000471,P000471,FL01821,FIRST
PNR000472,P000472,FL05699,FIRST
PNR000473,P000473,FL05135,ECONOMY
PNR000474,P000474,FL08765,FIRST
PNR000475,P000475,FL06300,BUSINESS
PNR000476,P000476,FL00811,BUSINESS
PNR000477,P000477,FL01521,ECONOMY
PNR000478,P000478,FL06930,BUSINESS
PNR000479,P000479,FL05102,BUSINESS
PNR000480,P000480,FL08062,ECONOMY
PNR000481,P000481,FL00855,ECONOMY
PNR000482,P000482,FL00247,BUSINESS
PNR000483,P000483,FL04416,ECONOMY
PNR000484,P000484,FL04146,BUSINESS
PNR000485,P000485,FL00651,FIRST
PNR000486,P000486,FL03871,BUSINESS
PNR000487,P000487,FL08453,ECONOMY
PNR000488,P000488,FL08447,BUSINESS
PNR000489,P000489,FL07164,BUSINESS
PNR000490,P000490,FL09983,BUSINESS
PNR000491,P000491,FL05121,FIRST
PNR000492,P000492,FL08341,FIRST
PNR000493,P000493,FL01635,BUSINESS
PNR000494,P000494,FL06920,BUSINESS
PNR000495,P000495,FL08764,BUSINESS
PNR000496,P000496,FL03339,BUSINESS
PNR000497,P000497,FL09695,ECONOMY
PNR000498,P000498,FL08366,BUSINESS
PNR000499,P000499,FL09213,BUSINESS
PNR000500,P000500,FL07884,FIRST
PNR000501,P000501,FL09457,BUSINESS
PNR000502,P000502,FL08943,ECONOMY
PNR000503,P000503,FL01385,ECONOMY
PNR000504,P000504,FL07876,BUSINESS
PNR000505,P000505,FL02069,ECONOMY
PNR000506,P000506,FL06440,ECONOMY
PNR000507,P000507,FL07150,ECONOMY
PNR000508,P000508,FL08915,ECONOMY
PNR000509,P000509,FL08665,BUSINESS
PNR000510,P000510,FL07772,ECONOMY
PNR000511,P000511,FL03845,BUSINESS
PNR000512,P000512,FL06569,BUSINESS
PNR000513,P000513,FL07958,FIRST
PNR000514,P000514,FL03153,ECONOMY
PNR000515,P000515,FL07283,FIRST
PNR000516,P000516,FL02322,BUSINESS
PNR000517,P000517,FL06003,FIRST
PNR000518,P000518,FL08473,BUSINESS
PNR000519,P000519,FL04885,BUSINESS
PNR000520,P000520,FL01034,FIRST
PNR000521,P000521,FL02576,FIRST
PNR000522,P000522,FL02780,FIRST
PNR000523,P000523,FL07481,BUSINESS
PNR000524,P000524,FL09135,ECONOMY
PNR000525,P000525,FL01817,FIRST
PNR000526,P000526,FL08904,FIRST
PNR000527,P000527,FL01396,ECONOMY
PNR000528,P000528,FL04177,FIRST
PNR000529,P000529,FL09934,ECONOMY
PNR000530,P000530,FL02729,BUSINESS
PNR000531,P000531,FL04255,ECONOMY
PNR000532,P000532,FL05768,FIRST
PNR000533,P000533,FL02796,FIRST
PNR000534,P000534,FL08356,ECONOMY
PNR000535,P000535,FL09658,BUSINESS
PNR000536,P000536,FL08312,ECONOMY
PNR000537,P000537,FL07164,ECONOMY
PNR000538,P000538,FL00636,FIRST
PNR000539,P000539,FL00728,ECONOMY
PNR000540,P000540,FL05744,ECONOMY
PNR000541,P000541,FL08978,BUSINESS
PNR000542,P000542,FL02009,BUSINESS
PNR000543,P000543,FL05311,ECONOMY
PNR000544,P000544,FL04940,FIRST
PNR000545,P000545,FL09510,FIRST
PNR000546,P000546,FL03399,FIRST
PNR000547,P000547,FL00496,BUSINESS
PNR000548,P000548,FL09161,BUSINESS
PNR000549,P000549,FL04351,FIRST
PNR000550,P000550,FL01783,ECONOMY
PNR000551,P000551,FL08233,ECONOMY
PNR000552,P000552,FL09361,BUSINESS
PNR000553,P000553,FL06045,BUSINESS
PNR000554,P000554,FL04202,ECONOMY
PNR000555,P000555,FL09348,FIRST
PNR000556,P000556,FL09110,FIRST
PNR000557,P000557,FL03078,BUSINESS
PNR000558,P000558,FL05004,FIRST
PNR000559,P000559,FL05956,BUSINESS
PNR000560,P000560,FL06252,ECONOMY
PNR000561,P000561,FL03587,BUSINESS
PNR000562,P000562,FL06691,BUSINESS
PNR000563,P000563,FL05750,ECONOMY
PNR000564,P000564,FL07650,ECONOMY
PNR000565,P000565,FL01644,BUSINESS
PNR000566,P000566,FL05062,ECONOMY
PNR000567,P000567,FL01984,FIRST
PNR000568,P000568,FL06605,ECONOMY
PNR000569,P000569,FL02790,ECONOMY
PNR000570,P000570,FL06924,FIRST
PNR000571,P000571,FL07757,ECONOMY
PNR000572,P000572,FL07247,BUSINESS
PNR000573,P000573,FL06573,FIRST
PNR000574,P000574,FL01724,ECONOMY
PNR000575,P000575,FL04613,BUSINESS
PNR000576,P000576,FL00956,BUSINESS
PNR000577,P000577,FL00257,ECONOMY
PNR000578,P000578,FL00802,ECONOMY
PNR000579,P000579,FL04035,BUSINESS
PNR000580,P000580,FL09539,ECONOMY
PNR000581,P000581,FL08616,BUSINESS
PNR000582,P000582,FL06088,FIRST
PNR000583,P000583,FL03366,ECONOMY
PNR000584,P000584,FL07616,ECONOMY
PNR000585,P000585,FL03905,FIRST
PNR000586,P000586,FL09545,FIRST
PNR000587,P000587,FL09128,BUSINESS
PNR000588,P000588,FL07129,ECONOMY
PNR000589,P000589,FL01221,BUSINESS
PNR000590,P000590,FL01874,BUSINESS
PNR000591,P000591,FL00535,ECONOMY
PNR000592,P000592,FL06311,BUSINESS
PNR000593,P000593,FL03119,FIRST
PNR000594,P000594,FL07455,FIRST
PNR000595,P000595,FL06460,BUSINESS
PNR000596,P000596,FL01098,BUSINESS
PNR000597,P000597,FL07472,FIRST
PNR000598,P000598,FL09511,BUSINESS
PNR000599,P000599,FL09490,ECONOMY
PNR000600,P000600,FL09538,BUSINESS
PNR000601,P000601,FL04750,BUSINESS
PNR000602,P000602,FL02090,FIRST
PNR000603,P000603,FL04176,ECONOMY
PNR000604,P000604,FL01723,BUSINESS
PNR000605,P000605,FL07407,FIRST
PNR000606,P000606,FL09848,ECONOMY
PNR000607,P000607,FL00095,ECONOMY
PNR000608,P000608,FL05284,BUSINESS
PNR000609,P000609,FL02512,BUSINESS
PNR000610,P000610,FL01179,ECONOMY
PNR000611,P000611,FL08320,BUSINESS
PNR000612,P000612,FL02707,BUSINESS
PNR000613,P000613,FL05795,BUSINESS
PNR000614,P000614,FL05052,FIRST
PNR000615,P000615,FL00323,ECONOMY
PNR000616,P000616,FL01102,BUSINESS
PNR000617,P000617,FL05374,BUSINESS
PNR000618,P000618,FL02337,FIRST
PNR000619,P000619,FL08446,ECONOMY
PNR000620,P000620,FL01541,ECONOMY
PNR000621,P000621,FL02153,FIRST
PNR000622,P000622,FL06112,BUSINESS
PNR000623,P000623,FL07364,ECONOMY
PNR000624,P000624,FL09911,FIRST
PNR000625,P000625,FL03272,ECONOMY
PNR000626,P000626,FL06865,ECONOMY
PNR000627,P000627,FL03924,FIRST
PNR000628,P000628,FL01637,BUSINESS
PNR000629,P000629,FL03836,FIRST
PNR000630,P000630,FL03409,ECONOMY
PNR000631,P000631,FL00767,BUSINESS
PNR000632,P000632,FL09153,FIRST
PNR000633,P000633,FL02724,BUSINESS
PNR000634,P000634,FL06865,ECONOMY
PNR000635,P000635,FL06072,ECONOMY
PNR000636,P000636,FL03515,ECONOMY
PNR000637,P000637,FL01865,FIRST
PNR000638,P000638,FL09444,FIRST
PNR000639,P000639,FL08943,ECONOMY
PNR000640,P000640,FL06602,FIRST
PNR000641,P000641,FL06429,ECONOMY
PNR000642,P000642,FL01907,FIRST
PNR000643,P000643,FL07147,FIRST
PNR000644,P000644,FL03211,BUSINESS
PNR000645,P000645,FL05436,FIRST
PNR000646,P000646,FL00574,BUSINESS
PNR000647,P000647,FL05047,BUSINESS
PNR000648,P000648,FL01255,FIRST
PNR000649,P000649,FL08709,BUSINESS
PNR000650,P000650,FL01924,ECONOMY
PNR000651,P000651,FL02295,BUSINESS
