flight_id,total_seats,available_seats
FL00209,121,121
FL00210,125,125
FL00211,207,207
FL00212,192,192
FL00213,169,169
FL00214,139,139
FL00215,159,159
FL00216,140,140
FL00217,172,172
FL00218,164,164
FL00219,179,179
FL00220,186,186
FL00221,218,218
FL00222,198,198
FL00223,216,216
FL00224,175,175
FL00225,147,147
FL00226,206,206
FL00227,162,162
FL00228,166,166
FL00229,184,184
FL00230,180,180
FL00231,177,177
FL00232,156,156
FL00233,219,219
FL00234,164,164
FL00235,136,136
FL00236,173,173
FL00237,147,147
FL00238,218,218
FL00239,209,209
FL00240,158,158
FL00241,184,184
FL00242,186,186
FL00243,188,188
FL00244,138,138
FL00245,145,145
FL00246,215,215
FL00247,216,216
FL00248,183,183
FL00249,200,200
FL00250,139,139
FL00251,160,160
FL00252,159,159
FL00253,157,157
FL00254,215,215
FL00255,143,143
FL00256,136,136
FL00257,201,201
FL00258,161,161
FL00259,145,145
FL00260,161,161
FL00261,134,134
FL00262,128,128
FL00263,179,179
FL00264,187,187
FL00265,206,206
FL00266,191,191
FL00267,216,216
FL00268,143,143
FL00269,190,190
FL00270,123,123
FL00271,162,162
FL00272,125,125
FL00273,151,151
FL00274,152,152
FL00275,163,163
FL00276,166,166
FL00277,149,149
FL00278,190,190
FL00279,214,214
FL00280,187,187
FL00281,143,143
FL00282,185,185
FL00283,180,180
FL00284,140,140
FL00285,120,120
FL00286,153,153
FL00287,176,176
FL00288,170,170
FL00289,180,180
FL00290,175,175
FL00291,168,168
FL00292,168,168
FL00293,210,210
FL00294,125,125
FL00295,188,188
FL00296,136,136
FL00297,189,189
FL00298,189,189
FL00299,183,183
FL00300,158,158
FL00301,161,161
FL00302,210,210
FL00303,209,209
FL00304,184,184
FL00305,177,177
FL00306,130,130
FL00307,212,212
FL00308,205,205
FL00309,136,136
FL00310,127,127
FL00311,200,200
FL00312,180,180
FL00313,160,160
FL00314,146,146
FL00315,129,129
FL00316,207,207
FL00317,147,147
FL00318,211,211
FL00319,169,169
FL00320,191,191
FL00321,166,166
FL00322,197,197
FL00323,144,144
FL00324,133,133
FL00325,167,167
FL00326,219,219
FL00327,216,216
FL00328,210,210
FL00329,137,137
FL00330,170,170
FL00331,136,136
FL00332,132,132
FL00333,204,204
FL00334,203,203
FL00335,124,124
FL00336,181,181
FL00337,157,157
FL00338,211,211
FL00339,130,130
FL00340,152,152
FL00341,153,153
FL00342,148,148
FL00343,120,120
FL00344,201,201
FL00345,135,135
FL00346,121,121
FL00347,169,169
FL00348,130,130
FL00349,155,155
FL00350,156,156
FL00351,165,165
FL00352,138,138
FL00353,195,195
FL00354,220,220
FL00355,196,196
FL00356,168,168
FL00357,159,159
FL00358,165,165
FL00359,210,210
FL00360,179,179
FL00361,159,159
FL00362,154,154
FL00363,146,146
FL00364,147,147
FL00365,128,128
FL00366,196,196
FL00367,198,198
FL00368,181,181
FL00369,132,132
FL00370,135,135
FL00371,207,207
FL00372,166,166
FL00373,149,149
FL00374,149,149
FL00375,151,151
FL00376,155,155
FL00377,220,220
FL00378,194,194
FL00379,177,177
FL00380,141,141
FL00381,199,199
FL00382,175,175
FL00383,198,198
FL00384,179,179
FL00385,123,123
FL00386,131,131
FL00387,123,123
FL00388,216,216
FL00389,125,125
FL00390,215,215
FL00391,146,146
FL00392,201,201
FL00393,158,158
FL00394,148,148
FL00395,157,157
FL00396,158,158
FL00397,196,196
FL00398,196,196
FL00399,183,183
FL00400,166,166
FL00401,214,214
FL00402,211,211
FL00403,189,189
FL00404,209,209
FL00405,165,165
FL00406,190,190
FL00407,211,211
FL00408,172,172
FL00409,200,200
FL00410,128,128
FL00411,213,213
FL00412,187,187
FL00413,187,187
FL00414,184,184
FL00415,131,131
FL00416,180,180
FL00417,185,185
FL00418,171,171
FL00419,126,126
FL00420,210,210
FL00421,136,136
FL00422,134,134
FL00423,166,166
FL00424,193,193
FL00425,195,195
FL00426,139,139
FL00427,183,183
FL00428,197,197
FL00429,152,152
FL00430,147,147
FL00431,178,178
FL00432,175,175
FL00433,148,148
FL00434,185,185
FL00435,136,136
FL00436,182,182
FL00437,156,156
FL00438,194,194
FL00439,125,125
FL00440,146,146
FL00441,147,147
FL00442,135,135
FL00443,140,140
FL00444,141,141
FL00445,143,143
FL00446,149,149
FL00447,197,197
FL00448,161,161
FL00449,153,153
FL00450,191,191
FL00451,125,125
FL00452,176,176
FL00453,121,121
FL00454,157,157
FL00455,177,177
FL00456,146,146
FL00457,207,207
FL00458,135,135
FL00459,159,159
FL00460,213,213
FL00461,214,214
FL00462,187,187
FL00463,147,147
FL00464,170,170
FL00465,191,191
FL00466,179,179
FL00467,159,159
FL00468,178,178
FL00469,180,180
FL00470,212,212
FL00471,183,183
FL00472,152,152
FL00473,120,120
FL00474,178,178
FL00475,122,122
FL00476,148,148
FL00477,171,171
FL00478,169,169
FL00479,172,172
FL00480,217,217
FL00481,165,165
FL00482,171,171
FL00483,121,121
FL00484,120,120
FL00485,206,206
FL00486,177,177
FL00487,168,168
FL00488,211,211
FL00489,137,137
FL00490,140,140
FL00491,190,190
FL00492,139,139
FL00493,135,135
FL00494,143,143
FL00495,220,220
FL00496,207,207
FL00497,202,202
FL00498,188,188
FL00499,136,136
FL00500,135,135
FL00501,194,194
FL00502,147,147
FL00503,184,184
FL00504,173,173
FL00505,188,188
FL00506,141,141
FL00507,181,181
FL00508,191,191
FL00509,153,153
FL00510,217,217
FL00511,176,176
FL00512,137,137
FL00513,174,174
FL00514,153,153
FL00515,210,210
FL00516,147,147
FL00517,196,196
FL00518,146,146
FL00519,145,145
FL00520,121,121
FL00521,158,158
FL00522,212,212
FL00523,219,219
FL00524,166,166
FL00525,202,202
FL00526,195,195
FL00527,175,175
FL00528,192,192
FL00529,141,141
FL00530,204,204
FL00531,217,217
FL00532,124,124
FL00533,171,171
FL00534,171,171
FL00535,204,204
FL00536,170,170
FL00537,124,124
FL00538,154,154
FL00539,189,189
FL00540,165,165
FL00541,149,149
FL00542,132,132
FL00543,143,143
FL00544,145,145
FL00545,152,152
FL00546,203,203
FL00547,153,153
FL00548,146,146
FL00549,163,163
FL00550,186,186
FL00551,213,213
FL00552,155,155
FL00553,194,194
FL00554,191,191
FL00555,131,131
FL00556,134,134
FL00557,186,186
FL00558,204,204
FL00559,159,159
FL00560,175,175
FL00561,164,164
FL00562,132,132
FL00563,139,139
FL00564,153,153
FL00565,143,143
FL00566,135,135
FL00567,123,123
FL00568,169,169
FL00569,215,215
FL00570,150,150
FL00571,179,179
FL00572,191,191
FL00573,207,207
FL00574,131,131
FL00575,180,180
FL00576,216,216
FL00577,210,210
FL00578,122,122
FL00579,159,159
FL00580,191,191
FL00581,210,210
FL00582,212,212
FL00583,148,148
FL00584,168,168
FL00585,152,152
FL00586,200,200
FL00587,187,187
FL00588,132,132
FL00589,130,130
FL00590,208,208
FL00591,172,172
FL00592,213,213
FL00593,163,163
FL00594,194,194
FL00595,164,164
FL00596,166,166
FL00597,214,214
FL00598,190,190
FL00599,200,200
FL00600,210,210
FL00601,167,167
FL00602,193,193
FL00603,153,153
FL00604,141,141
FL00605,129,129
FL00606,199,199
FL00607,151,151
FL00608,183,183
FL00609,193,193
FL00610,216,216
FL00611,145,145
FL00612,133,133
FL00613,146,146
FL00614,217,217
FL00615,172,172
FL00616,144,144
FL00617,208,208
FL00618,170,170
FL00619,163,163
FL00620,193,193
FL00621,183,183
FL00622,142,142
FL00623,182,182
FL00624,171,171
FL00625,179,179
FL00626,174,174
FL00627,186,186
FL00628,183,183
FL00629,180,180
FL00630,182,182
FL00631,166,166
FL00632,192,192
FL00633,146,146
FL00634,166,166
FL00635,220,220
FL00636,191,191
FL00637,174,174
FL00638,129,129
FL00639,146,146
FL00640,219,219
FL00641,159,159
FL00642,131,131
FL00643,182,182
FL00644,152,152
FL00645,196,196
FL00646,129,129
FL00647,194,194
FL00648,164,164
FL00649,148,148
FL00650,219,219
FL00651,191,191
FL00652,123,123
FL00653,190,190
FL00654,203,203
FL00655,189,189
FL00656,158,158
FL00657,142,142
FL00658,175,175
FL00659,220,220
FL00660,182,182
FL00661,136,136
FL00662,144,144
FL00663,145,145
FL00664,197,197
FL00665,197,197
FL00666,121,121
FL00667,206,206
FL00668,182,182
FL00669,171,171
FL00670,134,134
FL00671,166,166
FL00672,123,123
FL00673,124,124
FL00674,132,132
FL00675,129,129
FL00676,130,130
FL00677,148,148
FL00678,198,198
FL00679,133,133
FL00680,162,162
FL00681,159,159
FL00682,187,187
FL00683,120,120
FL00684,159,159
FL00685,156,156
FL00686,143,143
FL00687,215,215
FL00688,145,145
FL00689,172,172
FL00690,152,152
FL00691,183,183
FL00692,199,199
FL00693,140,140
FL00694,217,217
FL00695,129,129
FL00696,153,153
FL00697,194,194
FL00698,197,197
FL00699,121,121
FL00700,131,131
FL00701,120,120
FL00702,212,212
FL00703,187,187
FL00704,170,170
FL00705,132,132
FL00706,169,169
FL00707,219,219
FL00708,152,152
FL00709,178,178
FL00710,210,210
FL00711,197,197
FL00712,122,122
FL00713,159,159
FL00714,200,200
FL00715,204,204
FL00716,197,197
FL00717,193,193
FL00718,131,131
FL00719,163,163
FL00720,181,181
FL00721,148,148
FL00722,187,187
FL00723,204,204
FL00724,123,123
FL00725,168,168
FL00726,178,178
FL00727,198,198
FL00728,193,193
FL00729,168,168
FL00730,179,179
FL00731,205,205
FL00732,149,149
FL00733,169,169
FL00734,177,177
FL00735,143,143
FL00736,124,124
FL00737,194,194
FL00738,206,206
FL00739,170,170
FL00740,135,135
FL00741,125,125
FL00742,143,143
FL00743,217,217
FL00744,144,144
FL00745,178,178
FL00746,143,143
FL00747,175,175
FL00748,159,159
FL00749,148,148
FL00750,206,206
FL00751,142,142
FL00752,127,127
FL00753,166,166
FL00754,185,185
FL00755,169,169
FL00756,192,192
FL00757,192,192
FL00758,176,176
FL00759,140,140
FL00760,154,154
FL00761,166,166
FL00762,199,199
FL00763,180,180
FL00764,133,133
FL00765,205,205
FL00766,216,216
FL00767,202,202
FL00768,166,166
FL00769,166,166
FL00770,207,207
FL00771,176,176
FL00772,199,199
FL00773,145,145
FL00774,140,140
FL00775,218,218
FL00776,182,182
FL00777,179,179
FL00778,120,120
FL00779,135,135
FL00780,134,134
FL00781,207,207
FL00782,162,162
FL00783,159,159
FL00784,206,206
FL00785,199,199
FL00786,132,132
FL00787,179,179
FL00788,206,206
FL00789,183,183
FL00790,146,146
FL00791,200,200
FL00792,143,143
FL00793,213,213
FL00794,172,172
FL00795,120,120
FL00796,195,195
FL00797,174,174
FL00798,185,185
FL00799,163,163
FL00800,172,172
FL00801,185,185
FL00802,190,190
FL00803,208,208
FL00804,188,188
FL00805,202,202
FL00806,207,207
FL00807,190,190
FL00808,173,173
FL00809,216,216
FL00810,128,128
FL00811,124,124
FL00812,216,216
FL00813,187,187
FL00814,163,163
FL00815,206,206
FL00816,197,197
FL00817,180,180
FL00818,145,145
FL00819,164,164
FL00820,184,184
FL00821,168,168
FL00822,181,181
FL00823,195,195
FL00824,157,157
FL00825,147,147
FL00826,209,209
FL00827,144,144
FL00828,172,172
FL00829,155,155
FL00830,154,154
FL00831,183,183
FL00832,126,126
FL00833,141,141
FL00834,168,168
FL00835,145,145
FL00836,139,139
FL00837,182,182
FL00838,170,170
FL00839,183,183
FL00840,204,204
FL00841,174,174
FL00842,217,217
FL00843,164,164
FL00844,196,196
FL00845,170,170
FL00846,153,153
FL00847,214,214
FL00848,162,162
FL00849,186,186
FL00850,176,176
FL00851,203,203
FL00852,214,214
FL00853,169,169
FL00854,169,169
FL00855,199,199
FL00856,153,153
FL00857,194,194
FL00858,201,201
FL00859,153,153
FL00860,176,176
FL00861,215,215
FL00862,130,130
FL00863,164,164
FL00864,165,165
FL00865,200,200
FL00866,214,214
FL00867,150,150
FL00868,155,155
FL00869,176,176
FL00870,152,152
FL00871,160,160
FL00872,202,202
FL00873,124,124
FL00874,211,211
FL00875,201,201
FL00876,136,136
FL00877,152,152
FL00878,123,123
FL00879,219,219
FL00880,166,166
FL00881,150,150
FL00882,176,176
FL00883,183,183
FL00884,141,141
FL00885,196,196
FL00886,202,202
FL00887,120,120
FL00888,191,191
FL00889,212,212
FL00890,154,154
FL00891,206,206
FL00892,215,215
FL00893,187,187
FL00894,198,198
FL00895,170,170
FL00896,160,160
FL00897,149,149
FL00898,202,202
FL00899,199,199
FL00900,153,153
FL00901,162,162
FL00902,123,123
FL00903,150,150
FL00904,176,176
FL00905,164,164
FL00906,155,155
FL00907,190,190
FL00908,124,124
FL00909,218,218
FL00910,181,181
FL00911,187,187
FL00912,120,120
FL00913,167,167
FL00914,149,149
FL00915,188,188
FL00916,147,147
FL00917,145,145
FL00918,213,213
FL00919,188,188
FL00920,167,167
FL00921,171,171
FL00922,194,194
FL00923,144,144
FL00924,143,143
FL00925,212,212
FL00926,197,197
FL00927,135,135
FL00928,151,151
FL00929,172,172
FL00930,196,196
FL00931,168,168
FL00932,158,158
FL00933,214,214
FL00934,187,187
FL00935,125,125
FL00936,209,209
FL00937,155,155
FL00938,219,219
FL00939,123,123
FL00940,180,180
FL00941,148,148
FL00942,178,178
FL00943,146,146
FL00944,127,127
FL00945,155,155
FL00946,131,131
FL00947,165,165
FL00948,120,120
FL00949,212,212
FL00950,169,169
FL00951,147,147
FL00952,142,142
FL00953,210,210
FL00954,152,152
FL00955,123,123
FL00956,160,160
FL00957,133,133
FL00958,125,125
FL00959,214,214
FL00960,138,138
FL00961,172,172
FL00962,166,166
FL00963,186,186
FL00964,149,149
FL00965,188,188
FL00966,177,177
FL00967,200,200
FL00968,194,194
FL00969,175,175
FL00970,146,146
FL00971,145,145
FL00972,157,157
FL00973,170,170
FL00974,179,179
FL00975,155,155
FL00976,202,202
FL00977,174,174
FL00978,154,154
FL00979,208,208
FL00980,220,220
FL00981,170,170
FL00982,175,175
FL00983,215,215
FL00984,124,124
FL00985,151,151
FL00986,147,147
FL00987,137,137
FL00988,182,182
FL00989,145,145
FL00990,220,220
FL00991,193,193
FL00992,199,199
FL00993,180,180
FL00994,153,153
FL00995,134,134
FL00996,162,162
FL00997,196,196
FL00998,138,138
FL00999,220,220
FL01000,126,126
FL01001,210,210
FL01002,217,217
FL01003,193,193
FL01004,156,156
FL01005,128,128
FL01006,126,126
FL01007,131,131
FL01008,122,122
FL01009,142,142
FL01010,200,200
FL01011,182,182
FL01012,175,175
FL01013,125,125
FL01014,181,181
FL01015,188,188
FL01016,134,134
FL01017,207,207
FL01018,196,196
FL01019,161,161
FL01020,134,134
FL01021,170,170
FL01022,158,158
FL01023,186,186
FL01024,153,153
FL01025,195,195
FL01026,179,179
FL01027,180,180
FL01028,192,192
FL01029,201,201
FL01030,180,180
FL01031,145,145
FL01032,186,186
FL01033,145,145
FL01034,150,150
FL01035,122,122
FL01036,174,174
FL01037,131,131
FL01038,153,153
FL01039,152,152
FL01040,147,147
FL01041,161,161
FL01042,177,177
FL01043,203,203
FL01044,167,167
FL01045,154,154
FL01046,210,210
FL01047,180,180
FL01048,187,187
FL01049,195,195
FL01050,146,146
FL01051,163,163
FL01052,122,122
FL01053,164,164
FL01054,205,205
FL01055,216,216
FL01056,218,218
FL01057,202,202
FL01058,207,207
FL01059,143,143
FL01060,172,172
FL01061,124,124
FL01062,143,143
FL01063,217,217
FL01064,179,179
FL01065,123,123
FL01066,212,212
FL01067,171,171
FL01068,187,187
FL01069,180,180
FL01070,162,162
FL01071,175,175
FL01072,216,216
FL01073,180,180
FL01074,127,127
FL01075,181,181
FL01076,130,130
FL01077,201,201
FL01078,209,209
FL01079,189,189
FL01080,207,207
FL01081,135,135
FL01082,140,140
FL01083,196,196
FL01084,143,143
FL01085,150,150
FL01086,212,212
FL01087,171,171
FL01088,132,132
FL01089,147,147
FL01090,192,192
FL01091,134,134
FL01092,136,136
FL01093,144,144
FL01094,182,182
FL01095,179,179
FL01096,152,152
FL01097,166,166
FL01098,196,196
FL01099,202,202
FL01100,195,195
FL01101,186,186
FL01102,158,158
FL01103,206,206
FL01104,133,133
FL01105,209,209
FL01106,214,214
FL01107,146,146
FL01108,151,151
FL01109,183,183
FL01110,172,172
FL01111,184,184
FL01112,177,177
FL01113,121,121
FL01114,162,162
FL01115,208,208
FL01116,184,184
FL01117,219,219
FL01118,121,121
FL01119,182,182
FL01120,194,194
FL01121,128,128
FL01122,217,217
FL01123,125,125
FL01124,200,200
FL01125,216,216
FL01126,171,171
FL01127,202,202
FL01128,166,166
FL01129,135,135
FL01130,123,123
FL01131,174,174
FL01132,154,154
FL01133,125,125
FL01134,183,183
FL01135,124,124
FL01136,178,178
FL01137,187,187
FL01138,146,146
FL01139,217,217
FL01140,188,188
FL01141,207,207
FL01142,202,202
FL01143,158,158
FL01144,176,176
FL01145,187,187
FL01146,213,213
FL01147,154,154
FL01148,185,185
FL01149,145,145
FL01150,121,121
FL01151,149,149
FL01152,152,152
FL01153,186,186
FL01154,218,218
FL01155,164,164
FL01156,179,179
FL01157,147,147
FL01158,175,175
FL01159,162,162
FL01160,204,204
FL01161,156,156
FL01162,208,208
FL01163,206,206
FL01164,120,120
FL01165,157,157
FL01166,153,153
FL01167,199,199
FL01168,136,136
FL01169,181,181
FL01170,143,143
FL01171,185,185
FL01172,127,127
FL01173,198,198
FL01174,121,121
FL01175,144,144
FL01176,135,135
FL01177,177,177
FL01178,190,190
FL01179,184,184
FL01180,151,151
FL01181,204,204
FL01182,220,220
FL01183,169,169
FL01184,152,152
FL01185,151,151
FL01186,214,214
FL01187,130,130
FL01188,174,174
FL01189,183,183
FL01190,215,215
FL01191,186,186
FL01192,161,161
FL01193,215,215
FL01194,199,199
FL01195,184,184
FL01196,154,154
FL01197,153,153
FL01198,154,154
FL01199,125,125
FL01200,190,190
FL01201,191,191
FL01202,204,204
FL01203,193,193
FL01204,160,160
FL01205,215,215
FL01206,195,195
FL01207,147,147
FL01208,123,123
FL01209,145,145
FL01210,143,143
FL01211,200,200
FL01212,124,124
FL01213,179,179
FL01214,200,200
FL01215,167,167
FL01216,175,175
FL01217,120,120
FL01218,211,211
FL01219,163,163
FL01220,139,139
FL01221,174,174
FL01222,199,199
FL01223,199,199
FL01224,219,219
FL01225,126,126
FL01226,135,135
FL01227,215,215
FL01228,166,166
FL01229,140,140
FL01230,146,146
FL01231,203,203
FL01232,124,124
FL01233,136,136
FL01234,197,197
FL01235,196,196
FL01236,204,204
FL01237,199,199
FL01238,171,171
FL01239,168,168
FL01240,145,145
FL01241,148,148
FL01242,122,122
FL01243,196,196
FL01244,141,141
FL01245,151,151
FL01246,165,165
FL01247,171,171
FL01248,165,165
FL01249,153,153
FL01250,120,120
FL01251,151,151
FL01252,123,123
FL01253,176,176
FL01254,196,196
FL01255,202,202
FL01256,195,195
FL01257,135,135
FL01258,165,165
FL01259,155,155
FL01260,127,127
FL01261,143,143
FL01262,207,207
FL01263,179,179
FL01264,146,146
FL01265,140,140
FL01266,123,123
FL01267,135,135
FL01268,138,138
FL01269,200,200
FL01270,197,197
FL01271,165,165
FL01272,147,147
FL01273,131,131
FL01274,191,191
FL01275,161,161
FL01276,120,120
FL01277,122,122
FL01278,157,157
FL01279,136,136
FL01280,145,145
FL01281,130,130
FL01282,205,205
FL01283,188,188
FL01284,137,137
FL01285,209,209
FL01286,124,124
FL01287,217,217
FL01288,208,208
FL01289,169,169
FL01290,186,186
FL01291,136,136
FL01292,127,127
FL01293,158,158
FL01294,187,187
FL01295,135,135
FL01296,220,220
FL01297,208,208
FL01298,124,124
FL01299,192,192
FL01300,150,150
FL01301,127,127
FL01302,164,164
FL01303,158,158
FL01304,187,187
FL01305,156,156
FL01306,210,210
FL01307,177,177
FL01308,147,147
FL01309,186,186
FL01310,165,165
FL01311,176,176
FL01312,216,216
FL01313,182,182
FL01314,196,196
FL01315,177,177
FL01316,146,146
FL01317,195,195
FL01318,187,187
FL01319,215,215
FL01320,139,139
FL01321,154,154
FL01322,211,211
FL01323,162,162
FL01324,201,201
FL01325,207,207
FL01326,161,161
FL01327,150,150
FL01328,187,187
FL01329,133,133
FL01330,167,167
FL01331,130,130
FL01332,188,188
FL01333,140,140
FL01334,182,182
FL01335,138,138
FL01336,206,206
FL01337,144,144
FL01338,217,217
FL01339,185,185
FL01340,137,137
FL01341,175,175
FL01342,155,155
FL01343,136,136
FL01344,195,195
FL01345,165,165
FL01346,132,132
FL01347,184,184
FL01348,163,163
FL01349,143,143
FL01350,166,166
FL01351,166,166
FL01352,202,202
FL01353,179,179
FL01354,207,207
FL01355,173,173
FL01356,219,219
FL01357,187,187
FL01358,220,220
FL01359,187,187
FL01360,204,204
FL01361,212,212
FL01362,130,130
FL01363,163,163
FL01364,163,163
FL01365,195,195
FL01366,125,125
FL01367,151,151
FL01368,126,126
FL01369,185,185
FL01370,135,135
FL01371,193,193
FL01372,174,174
FL01373,213,213
FL01374,213,213
FL01375,199,199
FL01376,162,162
FL01377,158,158
FL01378,153,153
FL01379,214,214
FL01380,184,184
FL01381,178,178
FL01382,169,169
FL01383,133,133
FL01384,206,206
FL01385,163,163
FL01386,121,121
FL01387,210,210
FL01388,217,217
FL01389,157,157
FL01390,185,185
FL01391,190,190
FL01392,156,156
FL01393,194,194
FL01394,214,214
FL01395,134,134
FL01396,211,211
FL01397,161,161
FL01398,214,214
FL01399,123,123
FL01400,185,185
FL01401,193,193
FL01402,137,137
FL01403,203,203
FL01404,152,152
FL01405,156,156
FL01406,172,172
FL01407,211,211
FL01408,157,157
FL01409,125,125
FL01410,150,150
FL01411,162,162
FL01412,123,123
FL01413,176,176
FL01414,172,172
FL01415,196,196
FL01416,166,166
FL01417,164,164
FL01418,220,220
FL01419,165,165
FL01420,196,196
FL01421,209,209
FL01422,219,219
FL01423,146,146
FL01424,167,167
FL01425,162,162
FL01426,185,185
FL01427,185,185
FL01428,129,129
FL01429,127,127
FL01430,184,184
FL01431,216,216
FL01432,211,211
FL01433,137,137
FL01434,204,204
FL01435,139,139
FL01436,177,177
FL01437,176,176
FL01438,219,219
FL01439,162,162
FL01440,158,158
FL01441,177,177
FL01442,218,218
FL01443,177,177
FL01444,200,200
FL01445,183,183
FL01446,183,183
FL01447,154,154
FL01448,167,167
FL01449,193,193
FL01450,143,143
FL01451,167,167
FL01452,156,156
FL01453,210,210
FL01454,135,135
FL01455,136,136
FL01456,147,147
FL01457,185,185
FL01458,177,177
FL01459,138,138
FL01460,156,156
FL01461,214,214
FL01462,195,195
FL01463,151,151
FL01464,181,181
FL01465,196,196
FL01466,180,180
FL01467,198,198
FL01468,124,124
FL01469,122,122
FL01470,183,183
FL01471,127,127
FL01472,210,210
FL01473,156,156
FL01474,162,162
FL01475,166,166
FL01476,196,196
FL01477,156,156
FL01478,190,190
FL01479,159,159
FL01480,192,192
FL01481,208,208
FL01482,214,214
FL01483,173,173
FL01484,179,179
FL01485,153,153
FL01486,212,212
FL01487,133,133
FL01488,175,175
FL01489,174,174
FL01490,136,136
FL01491,145,145
FL01492,206,206
FL01493,192,192
FL01494,163,163
FL01495,220,220
FL01496,173,173
FL01497,204,204
FL01498,182,182
FL01499,135,135
FL01500,139,139
FL01501,162,162
FL01502,166,166
FL01503,195,195
FL01504,148,148
FL01505,163,163
FL01506,123,123
FL01507,141,141
FL01508,219,219
FL01509,177,177
FL01510,175,175
FL01511,177,177
FL01512,153,153
FL01513,199,199
FL01514,213,213
FL01515,122,122
FL01516,168,168
FL01517,158,158
FL01518,135,135
FL01519,220,220
FL01520,139,139
FL01521,219,219
FL01522,139,139
FL01523,182,182
FL01524,138,138
FL01525,206,206
FL01526,181,181
FL01527,170,170
FL01528,166,166
FL01529,145,145
FL01530,128,128
FL01531,156,156
FL01532,167,167
FL01533,134,134
FL01534,208,208
FL01535,200,200
FL01536,145,145
FL01537,155,155
FL01538,133,133
FL01539,183,183
FL01540,201,201
FL01541,126,126
FL01542,127,127
FL01543,163,163
FL01544,156,156
FL01545,166,166
FL01546,163,163
FL01547,191,191
FL01548,150,150
FL01549,157,157
FL01550,165,165
FL01551,165,165
